X1,Date,Type,Committee,Bill:,Congress-Session:
0,"January 04, 2007",referral,House Committee on the Judiciary,HJRes 4,110- 1
1,"January 04, 2005",referral,House Committee on the Judiciary,HJRes 8,109- 1
2,"July 26, 1995",referral,House Judiciary Committee,HJRes 104,104- 1
3,"January 21, 2010",referral,House Committee on the Judiciary,HJRes 70,111- 2
4,"June 25, 1997",referral,House Judiciary Committee,HJRes 85,105- 1
5,"April 21, 1993",referral,House Judiciary Committee,HJRes 181,103- 1
6,"July 22, 1991",referral,House Judiciary Committee,HJRes 310,102- 1
7,"January 30, 1991",referral,House Judiciary Committee,HJRes 101,102- 1
8,"January 19, 1989",referral,House Judiciary Committee,HJRes 73,101- 1
9,"January 26, 1994",referral,House Judiciary Committee,HJRes 307,103- 2
10,"February 17, 2005",referral,House Committee on the Judiciary,HJRes 24,109- 1
11,"March 20, 2001",referral,House Committee on the Judiciary,HJRes 39,107- 1
12,"February 25, 2003",referral,House Committee on the Judiciary,HJRes 25,108- 1
13,"January 27, 1993",referral,House Judiciary Committee,HJRes 81,103- 1
14,"January 24, 2011",referral,House Committee on the Judiciary,HJRes 22,112- 1
15,"January 30, 2017",referral,House Committee on the Judiciary,HJRes 48,115- 1
16,"April 28, 2015",referral,House Committee on the Judiciary,HJRes 48,114- 1
17,"May 20, 2021",referral,House Committee on the Judiciary,HJRes 48,117- 1
18,"June 23, 2009",referral,House Committee on the Judiciary,HJRes 57,111- 1
19,"February 22, 2019",referral,House Committee on the Judiciary,HJRes 48,116- 1
20,"January 19, 1999",referral,House Committee on the Judiciary,HJRes 21,106- 1
21,"January 04, 1995",referral,House Judiciary Committee,HJRes 3,104- 1
22,"May 12, 1999",referral,House Committee on the Judiciary,HJRes 53,106- 1
23,"February 06, 1997",referral,Senate Committee on the Judiciary,SJRes 15,105- 1
24,"January 23, 2017",referral,House Committee on the Judiciary,HJRes 30,115- 1
25,"May 17, 1995",referral,House Judiciary Committee,HJRes 88,104- 1
26,"March 10, 2017",referral,House Committee on the Judiciary,HJRes 88,115- 1
27,"April 15, 2021",referral,House Committee on the Judiciary,HJRes 40,117- 1
28,"April 27, 2006",referral,Senate Committee on the Judiciary,SJRes 35,109- 2
29,"January 21, 2015",referral,House Committee on the Judiciary,HJRes 23,114- 1
30,"February 14, 2013",referral,House Committee on the Judiciary,HJRes 29,113- 1
31,"September 03, 2003",referral,House Committee on the Judiciary,HJRes 67,108- 1
