source_citation,source_group,title_or_description_from_source,year,month,day,congress,congressional_session,joint_resolution_chamber,joint_resolution_number,sponsor_name,sponsor_state_or_territory,committee_of_referral,text_of_amendment,text_source_citation,ratified_yn,ratified_amendment,notes
"Ames, Herman V. The Proposed Amendments to the Constitution of the United States During the First Century of Its History, American Historical Society Annual Report for the year 1896; H. Doc. 353 part 2, 54th Cong., 2d Session, volume 3550-2, Washington: U.S. Government Printing Office, 1897.",State Ratifying Conventions,Reservation of nondelegated powers,1788,2,6,1,1,,,Massachusetts State Ratifying Convention,Massachusetts,,"That it be explicitly declared that all powers not expressly delegated by the aforesaid Constitution are reserved to the several states, to be by them exercised.","Elliot, Jonathan (Editor). Debates in the Several State Conventions, on the Adoption of the Federal Constitution, as Recommended by the General Convention at Philadelphia, in 1787. vol. 1, Philadelphia, J. B. Lippincott Company, 322. ",yes,10,
"Ames, Herman V. The Proposed Amendments to the Constitution of the United States During the First Century of Its History, American Historical Society Annual Report for the year 1896; H. Doc. 353 part 2, 54th Cong., 2d Session, volume 3550-2, Washington: U.S. Government Printing Office, 1897.",State Ratifying Conventions,Apportionment of Representatives,1788,2,6,1,1,,,Massachusetts State Ratifying Convention,Massachusetts,,"That there shall be one representative to every thirty thousand persons, according to the census mentioned in the Constitution, until the whole number of the representatives amounts to two hundred.","Elliot Jonathan (Editor). Debates in the Several State Conventions, on the Adoption of the Federal Constitution, as Recommended by the General Convention at Philadelphia, in 1787. vol. 1, Philadelphia, J. B. Lippincott Company, 322. ",no,,
"Ames, Herman V. The Proposed Amendments to the Constitution of the United States During the First Century of Its History, American Historical Society Annual Report for the year 1896; H. Doc. 353 part 2, 54th Cong., 2d Session, volume 3550-2, Washington: U.S. Government Printing Office, 1897.",State Ratifying Conventions,Restriction on Federal control over election of Senators and Representatives,1788,2,6,1,1,,,Massachusetts State Ratifying Convention,Massachusetts,,"That Congress do not exercise the powers vested in them by the 4th section of the 1st article, but in cases where a state shall neglect or refuse to make the regulations therein mentioned, or shall make regulations subversive of the rights of the people to a free and equal representation in Congress, agreeably to the Constitution.","Elliot Jonathan (Editor). Debates in the Several State Conventions, on the Adoption of the Federal Constitution, as Recommended by the General Convention at Philadelphia, in 1787. vol. 1, Philadelphia, J. B. Lippincott Company, 322. ",no,,
"Ames, Herman V. The Proposed Amendments to the Constitution of the United States During the First Century of Its History, American Historical Society Annual Report for the year 1896; H. Doc. 353 part 2, 54th Cong., 2d Session, volume 3550-2, Washington: U.S. Government Printing Office, 1897.",State Ratifying Conventions,Restriction upon the levying of direct taxes,1788,2,6,1,1,,,Massachusetts State Ratifying Convention,Massachusetts,,"That Congress do not lay direct taxes but when the moneys arising from the impost and excise are insufficient for the public exigencies, nor then until Congress shall have first made a requisition upon the states to assess, levy, and pay, their respective proportions of such requisition, agreeably to the census fixed in the said Constitution, in such way and manner as the legislatures of the states shall think bast; and in such case, if any state shall neglect or refuse to pay its proportion, pursuant to such requisition, then Congress may assess and levy such state's proportion, together with interest thereon at the rate of six per cent. per annum, from the time of payment prescribed in such requisition.","Elliot Jonathan (Editor). Debates in the Several State Conventions, on the Adoption of the Federal Constitution, as Recommended by the General Convention at Philadelphia, in 1787. vol. 1, Philadelphia, J. B. Lippincott Company, 322-23. ",no,,
"Ames, Herman V. The Proposed Amendments to the Constitution of the United States During the First Century of Its History, American Historical Society Annual Report for the year 1896; H. Doc. 353 part 2, 54th Cong., 2d Session, volume 3550-2, Washington: U.S. Government Printing Office, 1897.",State Ratifying Conventions,Commercial monopolies prohibited,1788,2,6,1,1,,,Massachusetts State Ratifying Convention,Massachusetts,,That Congress erect no company of merchants with exclusive advantages of commerce.,"Elliot Jonathan (Editor). Debates in the Several State Conventions, on the Adoption of the Federal Constitution, as Recommended by the General Convention at Philadelphia, in 1787. vol. 1, Philadelphia, J. B. Lippincott Company, 323. ",no,,
"Ames, Herman V. The Proposed Amendments to the Constitution of the United States During the First Century of Its History, American Historical Society Annual Report for the year 1896; H. Doc. 353 part 2, 54th Cong., 2d Session, volume 3550-2, Washington: U.S. Government Printing Office, 1897.",State Ratifying Conventions,Indictment by grand jury,1788,2,6,1,1,,,Massachusetts State Ratifying Convention,Massachusetts,,"That no person shall be tried for any crime by which he may incur an infamous punishment, or loss of life, until he be first indicted by a grand jury, except in such cases as may arise in the government and regulation of the land and naval forces.","Elliot Jonathan (Editor). Debates in the Several State Conventions, on the Adoption of the Federal Constitution, as Recommended by the General Convention at Philadelphia, in 1787. vol. 1, Philadelphia, J. B. Lippincott Company, 323. ",yes,5,
"Ames, Herman V. The Proposed Amendments to the Constitution of the United States During the First Century of Its History, American Historical Society Annual Report for the year 1896; H. Doc. 353 part 2, 54th Cong., 2d Session, volume 3550-2, Washington: U.S. Government Printing Office, 1897.",State Ratifying Conventions,Jurisdiction of Federal Courts,1788,2,6,1,1,,,Massachusetts State Ratifying Convention,Massachusetts,,"The Supreme Judicial Federal Court shall have no juxisdiction of causes between citizens of different states, unless the matter in dispute, whether it concerns the realty or personalty, be of the value of three thousand dollars at the least; nor shall the federal judicial powers extend to any actions between citizens of different states, where the matter in dispute, whether it concerns the realty or personalty, is not of the value of fifteen hundred dollars at least.","Elliot Jonathan (Editor). Debates in the Several State Conventions, on the Adoption of the Federal Constitution, as Recommended by the General Convention at Philadelphia, in 1787. vol. 1, Philadelphia, J. B. Lippincott Company, 323. ",no,,
"Ames, Herman V. The Proposed Amendments to the Constitution of the United States During the First Century of Its History, American Historical Society Annual Report for the year 1896; H. Doc. 353 part 2, 54th Cong., 2d Session, volume 3550-2, Washington: U.S. Government Printing Office, 1897.",State Ratifying Conventions,Trial by jury in civil action,1788,2,6,1,1,,,Massachusetts State Ratifying Convention,Massachusetts,,"In civil actions between citizens of different states, every issue of fact, arising in actions at common law, shall be tried by a jury, if the parties, or either of them, request it.","Elliot Jonathan (Editor). Debates in the Several State Conventions, on the Adoption of the Federal Constitution, as Recommended by the General Convention at Philadelphia, in 1787. vol. 1, Philadelphia, J. B. Lippincott Company, 323. ",yes,7,
"Ames, Herman V. The Proposed Amendments to the Constitution of the United States During the First Century of Its History, American Historical Society Annual Report for the year 1896; H. Doc. 353 part 2, 54th Cong., 2d Session, volume 3550-2, Washington: U.S. Government Printing Office, 1897.",State Ratifying Conventions,Titles of nobility,1788,2,6,1,1,,,Massachusetts State Ratifying Convention,Massachusetts,,"Congress shall at no time consent that any person, holding an office of trust or profit under the United States, shall accept of a title of nobility, or any other title or office, from any king, prince, or foreign state.","Elliot Jonathan (Editor). Debates in the Several State Conventions, on the Adoption of the Federal Constitution, as Recommended by the General Convention at Philadelphia, in 1787. vol. 1, Philadelphia, J. B. Lippincott Company, 323. ",no,,
"Ames, Herman V. The Proposed Amendments to the Constitution of the United States During the First Century of Its History, American Historical Society Annual Report for the year 1896; H. Doc. 353 part 2, 54th Cong., 2d Session, volume 3550-2, Washington: U.S. Government Printing Office, 1897.",State Ratifying Conventions,Restriction on Federal control over election of Senators and Representatives,1788,5,23,1,1,,,South Carolina State Ratifying Convention,South Carolina,,"And whereas it is essential to the preservation of the rights reserved to the several states, and the freedom of the people, under the operations of a general government, that the right of prescribing the manner, time, and places, of holding the elections to the federal legislature, should be forever inseparably annexed to the sovereignty ofthe several states,—This Convention doth declare, that the same ought to remain, to all posterity, a perpetual and fundamental right in the local, exclusive of the interference of the general government, except in cases where the legislatures of the states shall refuse or neglect to perform and fulfil the same, according to the tenor of the said Constitution.","Elliot Jonathan (Editor). Debates in the Several State Conventions, on the Adoption of the Federal Constitution, as Recommended by the General Convention at Philadelphia, in 1787. vol. 1, Philadelphia, J. B. Lippincott Company, 325. ",no,,
