id,source_citation,source_group,title_or_description_from_source,date,congress,congressional_session,joint_resolution_chamber,joint_resolution_number,sponsor_name,sponsor_state_or_territory,committee_of_referral,text_of_amendment,ratified_yn,ratified_amendment,notes,constitute_topic1,constitute_topic2,constitute_topic3,constitute_topic4,constitute_topic5,constitute_topic6,constitute_topic7,constitute_topic8,constitute_topic9,flag_title,flag_text,flag
4422,"Proposed Amendments to the Constitution of the United States Introduced in Congress from the 69th Congress, 2d Session through the 87th Congress, 2d Session, December 6, 1926 to January 3, 1963, S. Doc. No. 163, 87th Cong. 2d Sess., Washington: U.S. Government Printing Office, 1963.",NARA,"Relating to fiscal matters, maintaining a balanced budget",1949-03-25,81,NA,NA,NA,Tydings,Maryland,NA,NA,NA,NA,NA,balbudgt,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE
4778,"Proposed Amendments to the Constitution of the United States Introduced in Congress from the 69th Congress, 2d Session through the 87th Congress, 2d Session, December 6, 1926 to January 3, 1963, S. Doc. No. 163, 87th Cong. 2d Sess., Washington: U.S. Government Printing Office, 1963.",NARA,Relative to the balancing of the budget,1956-01-25,84,NA,NA,NA,Byrd,Virginia,NA,NA,NA,NA,NA,balbudgt,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE
4906,"Proposed Amendments to the Constitution of the United States Introduced in Congress from the 69th Congress, 2d Session through the 87th Congress, 2d Session, December 6, 1926 to January 3, 1963, S. Doc. No. 163, 87th Cong. 2d Sess., Washington: U.S. Government Printing Office, 1963.",NARA,Provides for the balancing of the budget,1957-01-22,85,NA,NA,NA,Bridges,New Hampshire,NA,NA,NA,NA,NA,balbudgt,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE
4990,"Proposed Amendments to the Constitution of the United States Introduced in Congress from the 69th Congress, 2d Session through the 87th Congress, 2d Session, December 6, 1926 to January 3, 1963, S. Doc. No. 163, 87th Cong. 2d Sess., Washington: U.S. Government Printing Office, 1963.",NARA,Requires the Congress to stay in session each year until a balanced budget is produced,1957-01-29,85,NA,NA,NA,Laird,Wisconsin,NA,NA,NA,NA,NA,balbudgt,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE
4992,"Proposed Amendments to the Constitution of the United States Introduced in Congress from the 69th Congress, 2d Session through the 87th Congress, 2d Session, December 6, 1926 to January 3, 1963, S. Doc. No. 163, 87th Cong. 2d Sess., Washington: U.S. Government Printing Office, 1963.",NARA,Requires the Congress to stay in session each year until a balanced budget is produced,1957-01-31,85,NA,NA,NA,Gwinn,New York,NA,NA,NA,NA,NA,balbudgt,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE
5004,"Proposed Amendments to the Constitution of the United States Introduced in Congress from the 69th Congress, 2d Session through the 87th Congress, 2d Session, December 6, 1926 to January 3, 1963, S. Doc. No. 163, 87th Cong. 2d Sess., Washington: U.S. Government Printing Office, 1963.",NARA,Requires the Congress of the United States to stay in session each year until it has produced a balanced budget,1957-03-06,85,NA,NA,NA,Alger,Texas,NA,NA,NA,NA,NA,balbudgt,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE
5010,"Proposed Amendments to the Constitution of the United States Introduced in Congress from the 69th Congress, 2d Session through the 87th Congress, 2d Session, December 6, 1926 to January 3, 1963, S. Doc. No. 163, 87th Cong. 2d Sess., Washington: U.S. Government Printing Office, 1963.",NARA,Requires the Congress of the United States to stay in session each year until it has produced a balanced budget,1957-03-18,85,NA,NA,NA,Cunningham,Iowa,NA,NA,NA,NA,NA,balbudgt,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE
5101,"Proposed Amendments to the Constitution of the United States Introduced in Congress from the 69th Congress, 2d Session through the 87th Congress, 2d Session, December 6, 1926 to January 3, 1963, S. Doc. No. 163, 87th Cong. 2d Sess., Washington: U.S. Government Printing Office, 1963.",NARA,Requires the Congress to stay in session each year until it has produced a balanced budget,1959-05-26,86,NA,NA,NA,Bridges,New Hampshire,NA,NA,NA,NA,NA,balbudgt,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE
5111,"Proposed Amendments to the Constitution of the United States Introduced in Congress from the 69th Congress, 2d Session through the 87th Congress, 2d Session, December 6, 1926 to January 3, 1963, S. Doc. No. 163, 87th Cong. 2d Sess., Washington: U.S. Government Printing Office, 1963.",NARA,Relates to the balancing of the budget,1960-03-17,86,NA,NA,NA,Bridges,New Hampshire,NA,NA,NA,NA,NA,balbudgt,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE
5148,"Proposed Amendments to the Constitution of the United States Introduced in Congress from the 69th Congress, 2d Session through the 87th Congress, 2d Session, December 6, 1926 to January 3, 1963, S. Doc. No. 163, 87th Cong. 2d Sess., Washington: U.S. Government Printing Office, 1963.",NARA,Requires Congress to stay in session each year until it has produced a balanced budget except in times of emergencies,1959-01-07,86,NA,NA,NA,Laird,Wisconsin,NA,NA,NA,NA,NA,balbudgt,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE
