Congress,Congress began,Congress ended
1st Congress,"March 4, 1789","March 3, 1791"
,,
,,
2nd Congress,"March 4, 1791","March 3, 1793"
,,
,,
3rd Congress,"March 4, 1793","March 3, 1795"
,,
,,
4th Congress,"March 4, 1795","March 3, 1797"
,,
,,
5th Congress,"March 4, 1797","March 3, 1799"
,,
,,
,,
,,
6th Congress,"March 4, 1799","March 3, 1801"
,,
7th Congress,"March 4, 1801","March 3, 1803"
,,
,,
8th Congress,"March 4, 1803","March 3, 1805"
,,
9th Congress,"March 4, 1805","March 3, 1807"
,,
10th Congress,"March 4, 1807","March 3, 1809"
,,
11th Congress,"March 4, 1809","March 3, 1811"
,,
,,
,,
12th Congress,"March 4, 1811","March 3, 1813"
,,
13th Congress,"March 4, 1813","March 3, 1815"
,,
,,
14th Congress,"March 4, 1815","March 3, 1817"
,,
15th Congress,"March 4, 1817","March 3, 1819"
,,
,,
16th Congress,"March 4, 1819","March 3, 1821"
,,
17th Congress,"March 4, 1821","March 3, 1823"
,,
18th Congress,"March 4, 1823","March 3, 1825"
,,
19th Congress,"March 4, 1825","March 3, 1827"
,,
,,
20th Congress,"March 4, 1827","March 3, 1829"
,,
21st Congress,"March 4, 1829","March 3, 1831"
,,
,,
22nd Congress,"March 4, 1831","March 3, 1833"
,,
23rd Congress,"March 4, 1833","March 3, 1835"
,,
24th Congress,"March 4, 1835","March 3, 1837"
,,
25th Congress,"March 4, 1837","March 3, 1839"
,,
,,
,,
26th Congress,"March 4, 1839","March 3, 1841"
,,
27th Congress,"March 4, 1841","March 3, 1843"
,,
,,
,,
28th Congress,"March 4, 1843","March 3, 1845"
,,
29th Congress,"March 4, 1845","March 3, 1847"
,,
,,
30th Congress,"March 4, 1847","March 3, 1849"
,,
31st Congress,"March 4, 1849","March 3, 1851"
,,
,,
32nd Congress,"March 4, 1851","March 3, 1853"
,,
,,
33rd Congress,"March 4, 1853","March 3, 1855"
,,
,,
34th Congress,"March 4, 1855","March 3, 1857"
,,
,,
35th Congress,"March 4, 1857","March 3, 1859"
,,
,,
,,
36th Congress,"March 4, 1859","March 3, 1861"
,,
,,
,,
37th Congress,"March 4, 1861","March 3, 1863"
,,
,,
,,
38th Congress,"March 4, 1863","March 3, 1865"
,,
,,
39th Congress,"March 4, 1865","March 3, 1867"
,,
,,
40th Congress,"March 4, 1867","March 3, 1869"
,,
,,
,,
41st Congress,"March 4, 1869","March 3, 1871"
,,
,,
,,
42nd Congress,"March 4, 1871","March 3, 1873"
,,
,,
,,
43rd Congress,"March 4, 1873","March 3, 1875"
,,
,,
44th Congress,"March 4, 1875","March 3, 1877"
,,
,,
45th Congress,"March 4, 1877","March 3, 1879"
,,
,,
,,
46th Congress,"March 4, 1879","March 3, 1881"
,,
,,
47th Congress,"March 4, 1881","March 3, 1883"
,,
,,
,,
48th Congress,"March 4, 1883","March 3, 1885"
,,
49th Congress,"March 4, 1885","March 3, 1887"
,,
,,
50th Congress,"March 4, 1887","March 3, 1889"
,,
51st Congress,"March 4, 1889","March 3, 1891"
,,
,,
52nd Congress,"March 4, 1891","March 3, 1893"
,,
53rd Congress,"March 4, 1893","March 3, 1895"
,,
,,
,,
54th Congress,"March 4, 1895","March 3, 1897"
,,
55th Congress,"March 4, 1897","March 3, 1899"
,,
,,
,,
56th Congress,"March 4, 1899","March 3, 1901"
,,
