year,congress_n
1789,89
1790,91
1791,97
1792,99
1793,135
1794,135
1795,136
1796,138
1797,138
1798,138
1799,138
1800,138
1801,138
1802,138
1803,176
1804,176
1805,176
1806,176
1807,176
1808,176
1809,176
1810,176
1811,177
1812,179
1813,218
1814,218
1815,219
1816,221
1817,225
1818,227
1819,230
1820,232
1821,235
1822,235
1823,261
1824,261
1825,261
1826,261
1827,261
1828,261
1829,261
1830,261
1831,261
1832,261
1833,288
1834,288
1835,290
1836,292
1837,294
1838,294
1839,294
1840,294
1841,294
1842,294
1843,275
1844,275
1845,284
1846,286
1847,288
1848,290
1849,293
1850,295
1851,295
1852,295
1853,296
1854,296
1855,296
1856,296
1857,299
1858,301
1859,304
1860,304
1861,251
1862,251
1863,254
1864,256
1865,265
1866,265
1867,300
1868,300
1869,317
1870,317
1871,317
1872,317
1873,366
1874,366
1875,367
1876,369
1877,369
1878,369
1879,369
1880,369
1881,369
1882,369
1883,401
1884,401
1885,401
1886,401
1887,401
1888,401
1889,416
1890,420
1891,420
1892,420
1893,444
1894,444
1895,445
1896,447
1897,447
1898,447
1899,447
1900,447
1901,447
1902,447
1903,476
1904,476
1905,476
1906,476
1907,483
1908,483
1909,483
1910,483
1911,486
1912,490
1913,531
1914,531
1915,531
1916,531
1917,531
1918,531
1919,531
1920,531
1921,531
1922,531
1923,531
1924,531
1925,531
1926,531
1927,531
1928,531
1929,531
1930,531
1931,531
1932,531
1933,531
1934,531
1935,531
1936,531
1937,531
1938,531
1939,531
1940,531
1941,531
1942,531
1943,531
1944,531
1945,531
1946,531
1947,531
1948,531
1949,531
1950,531
1951,531
1952,531
1953,531
1954,531
1955,531
1956,531
1957,531
1958,531
1959,536
1960,536
1961,537
1962,537
1963,535
1964,535
1965,535
1966,535
1967,535
1968,535
1969,535
1970,535
1971,535
1972,535
1973,535
1974,535
1975,535
1976,535
1977,535
1978,535
1979,535
1980,535
1981,535
1982,535
1983,535
1984,535
1985,535
1986,535
1987,535
1988,535
1989,535
1990,535
1991,535
1992,535
1993,535
1994,535
1995,535
1996,535
1997,535
1998,535
1999,535
2000,535
2001,535
2002,535
2003,535
2004,535
2005,535
2006,535
2007,535
2008,535
2009,535
2010,535
2011,535
2012,535
2013,535
2014,535
2015,535
2016,535
2017,535
2018,535
2019,535
2020,535
