id,source_citation,source_group,title_or_description_from_source,date,congress,congressional_session,joint_resolution_chamber,joint_resolution_number,sponsor_name,sponsor_state_or_territory,committee_of_referral,text_of_amendment,ratified_yn,ratified_amendment,notes,constitute_topic1,constitute_topic2,constitute_topic3,constitute_topic4,constitute_topic5,constitute_topic6,constitute_topic7,constitute_topic8,constitute_topic9
3418,"Proposed Amendments to the Constitution of the United States Introduced in Congress from the 69th Congress, 2d Session through the 87th Congress, 2d Session, December 6, 1926 to January 3, 1963, S. Doc. No. 163, 87th Cong. 2d Sess., Washington: U.S. Government Printing Office, 1963.",NARA,Relative to equal rights for men and women,1928-05-18,70,NA,NA,NA,Magrady,Pennsylvania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3752,"Proposed Amendments to the Constitution of the United States Introduced in Congress from the 69th Congress, 2d Session through the 87th Congress, 2d Session, December 6, 1926 to January 3, 1963, S. Doc. No. 163, 87th Cong. 2d Sess., Washington: U.S. Government Printing Office, 1963.",NARA,Relative to equal rights for men and women,1935-01-04,74,NA,NA,TRUE,Townsend,Delaware,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3777,"Proposed Amendments to the Constitution of the United States Introduced in Congress from the 69th Congress, 2d Session through the 87th Congress, 2d Session, December 6, 1926 to January 3, 1963, S. Doc. No. 163, 87th Cong. 2d Sess., Washington: U.S. Government Printing Office, 1963.",NARA,Relative to equal rights for men and women,1935-01-03,74,NA,NA,TRUE,Ludlow,Indiana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3808,"Proposed Amendments to the Constitution of the United States Introduced in Congress from the 69th Congress, 2d Session through the 87th Congress, 2d Session, December 6, 1926 to January 3, 1963, S. Doc. No. 163, 87th Cong. 2d Sess., Washington: U.S. Government Printing Office, 1963.",NARA,Relative to equal rights for men and women,1935-04-04,74,NA,NA,NA,Dunn,Pennsylvania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4418,"Proposed Amendments to the Constitution of the United States Introduced in Congress from the 69th Congress, 2d Session through the 87th Congress, 2d Session, December 6, 1926 to January 3, 1963, S. Doc. No. 163, 87th Cong. 2d Sess., Washington: U.S. Government Printing Office, 1963.",NARA,Relative to equal rights for men and women,1949-01-13,81,NA,NA,NA,Gillette,Iowa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4430,"Proposed Amendments to the Constitution of the United States Introduced in Congress from the 69th Congress, 2d Session through the 87th Congress, 2d Session, December 6, 1926 to January 3, 1963, S. Doc. No. 163, 87th Cong. 2d Sess., Washington: U.S. Government Printing Office, 1963.",NARA,Relative to equal rights for men and women,1949-01-03,81,NA,NA,NA,Harris,Arkansas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4448,"Proposed Amendments to the Constitution of the United States Introduced in Congress from the 69th Congress, 2d Session through the 87th Congress, 2d Session, December 6, 1926 to January 3, 1963, S. Doc. No. 163, 87th Cong. 2d Sess., Washington: U.S. Government Printing Office, 1963.",NARA,Relative to equal rights for men and women,1949-01-05,81,NA,NA,NA,St. George,New York,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4454,"Proposed Amendments to the Constitution of the United States Introduced in Congress from the 69th Congress, 2d Session through the 87th Congress, 2d Session, December 6, 1926 to January 3, 1963, S. Doc. No. 163, 87th Cong. 2d Sess., Washington: U.S. Government Printing Office, 1963.",NARA,Relative to equal rights for men and women,1949-01-18,81,NA,NA,NA,Tollefson,Washington,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4455,"Proposed Amendments to the Constitution of the United States Introduced in Congress from the 69th Congress, 2d Session through the 87th Congress, 2d Session, December 6, 1926 to January 3, 1963, S. Doc. No. 163, 87th Cong. 2d Sess., Washington: U.S. Government Printing Office, 1963.",NARA,Relative to equal rights for men and women,1949-01-27,81,NA,NA,NA,Fulton,Pennsylvania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4459,"Proposed Amendments to the Constitution of the United States Introduced in Congress from the 69th Congress, 2d Session through the 87th Congress, 2d Session, December 6, 1926 to January 3, 1963, S. Doc. No. 163, 87th Cong. 2d Sess., Washington: U.S. Government Printing Office, 1963.",NARA,Relative to equal rights for men and women,1949-02-02,81,NA,NA,NA,Jackson,California,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4460,"Proposed Amendments to the Constitution of the United States Introduced in Congress from the 69th Congress, 2d Session through the 87th Congress, 2d Session, December 6, 1926 to January 3, 1963, S. Doc. No. 163, 87th Cong. 2d Sess., Washington: U.S. Government Printing Office, 1963.",NARA,Relative to equal rights for men and women,1949-02-02,81,NA,NA,NA,Multer,New York,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4461,"Proposed Amendments to the Constitution of the United States Introduced in Congress from the 69th Congress, 2d Session through the 87th Congress, 2d Session, December 6, 1926 to January 3, 1963, S. Doc. No. 163, 87th Cong. 2d Sess., Washington: U.S. Government Printing Office, 1963.",NARA,Relative to equal rights for men and women,1949-02-03,81,NA,NA,NA,Buchanan,Pennsylvania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4463,"Proposed Amendments to the Constitution of the United States Introduced in Congress from the 69th Congress, 2d Session through the 87th Congress, 2d Session, December 6, 1926 to January 3, 1963, S. Doc. No. 163, 87th Cong. 2d Sess., Washington: U.S. Government Printing Office, 1963.",NARA,Relative to equal rights for men and women,1949-02-03,81,NA,NA,NA,Mills,Arkansas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4466,"Proposed Amendments to the Constitution of the United States Introduced in Congress from the 69th Congress, 2d Session through the 87th Congress, 2d Session, December 6, 1926 to January 3, 1963, S. Doc. No. 163, 87th Cong. 2d Sess., Washington: U.S. Government Printing Office, 1963.",NARA,Relative to equal rights for men and women,1949-02-09,81,NA,NA,NA,Bramblett,California,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4468,"Proposed Amendments to the Constitution of the United States Introduced in Congress from the 69th Congress, 2d Session through the 87th Congress, 2d Session, December 6, 1926 to January 3, 1963, S. Doc. No. 163, 87th Cong. 2d Sess., Washington: U.S. Government Printing Office, 1963.",NARA,Relative to equal rights for men and women,1949-02-21,81,NA,NA,NA,Gwinn,New York,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4470,"Proposed Amendments to the Constitution of the United States Introduced in Congress from the 69th Congress, 2d Session through the 87th Congress, 2d Session, December 6, 1926 to January 3, 1963, S. Doc. No. 163, 87th Cong. 2d Sess., Washington: U.S. Government Printing Office, 1963.",NARA,Relative to equal rights for men and women,1949-03-09,81,NA,NA,NA,Farrington,Hawaii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4473,"Proposed Amendments to the Constitution of the United States Introduced in Congress from the 69th Congress, 2d Session through the 87th Congress, 2d Session, December 6, 1926 to January 3, 1963, S. Doc. No. 163, 87th Cong. 2d Sess., Washington: U.S. Government Printing Office, 1963.",NARA,Relative to equal rights for men and women,1949-03-21,81,NA,NA,NA,Poulson,California,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4492,"Proposed Amendments to the Constitution of the United States Introduced in Congress from the 69th Congress, 2d Session through the 87th Congress, 2d Session, December 6, 1926 to January 3, 1963, S. Doc. No. 163, 87th Cong. 2d Sess., Washington: U.S. Government Printing Office, 1963.",NARA,Relative to equal rights for men and women,1951-01-08,82,NA,NA,NA,O'Conor,Maryland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4525,"Proposed Amendments to the Constitution of the United States Introduced in Congress from the 69th Congress, 2d Session through the 87th Congress, 2d Session, December 6, 1926 to January 3, 1963, S. Doc. No. 163, 87th Cong. 2d Sess., Washington: U.S. Government Printing Office, 1963.",NARA,Relative to equal rights for men and women,1951-01-03,82,NA,NA,NA,Poulson,California,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4527,"Proposed Amendments to the Constitution of the United States Introduced in Congress from the 69th Congress, 2d Session through the 87th Congress, 2d Session, December 6, 1926 to January 3, 1963, S. Doc. No. 163, 87th Cong. 2d Sess., Washington: U.S. Government Printing Office, 1963.",NARA,Relative to equal rights for men and women,1951-01-03,82,NA,NA,NA,St. George,New York,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4530,"Proposed Amendments to the Constitution of the United States Introduced in Congress from the 69th Congress, 2d Session through the 87th Congress, 2d Session, December 6, 1926 to January 3, 1963, S. Doc. No. 163, 87th Cong. 2d Sess., Washington: U.S. Government Printing Office, 1963.",NARA,Relative to equal rights for men and women,1951-01-08,82,NA,NA,NA,Mills,Arkansas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4536,"Proposed Amendments to the Constitution of the United States Introduced in Congress from the 69th Congress, 2d Session through the 87th Congress, 2d Session, December 6, 1926 to January 3, 1963, S. Doc. No. 163, 87th Cong. 2d Sess., Washington: U.S. Government Printing Office, 1963.",NARA,Relative to equal rights for men and women,1951-01-15,82,NA,NA,NA,Lind,Pennsylvania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
