id,source_citation,source_group,title_or_description_from_source,constitute_topic2,date,congress,congressional_session,joint_resolution_chamber,joint_resolution_number,sponsor_name,sponsor_state_or_territory,committee_of_referral,text_of_amendment,ratified_yn,ratified_amendment,notes,constitute_topic1,constitute_topic3,constitute_topic4,constitute_topic5,constitute_topic6,constitute_topic7,constitute_topic8,constitute_topic9,flag_title,flag_text,flag
7291,"Davis, Richard. Proposed Amendments to the Constitution of the United States Introduced in Congress from the 91st Congress, 1st Session through the 98th Congress, 2d Session, January 1969-December 1984, (CRS Report No. 85-36 GOV), Washington: Congressional Research Service, 1985.",NARA,Flag of the United States,NA,1970-08-28,91,NA,NA,NA,Stevens,Alaska,NA,NA,NA,NA,NA,flag,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE
8007,"Davis, Richard. Proposed Amendments to the Constitution of the United States Introduced in Congress from the 91st Congress, 1st Session through the 98th Congress, 2d Session, January 1969-December 1984, (CRS Report No. 85-36 GOV), Washington: Congressional Research Service, 1985.",NARA,Flag of the United States,NA,1970-09-21,91,NA,NA,NA,Langen,Minnesota,NA,NA,NA,NA,NA,flag,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE
8381,"Davis, Richard. Proposed Amendments to the Constitution of the United States Introduced in Congress from the 91st Congress, 1st Session through the 98th Congress, 2d Session, January 1969-December 1984, (CRS Report No. 85-36 GOV), Washington: Congressional Research Service, 1985.",NARA,Flag of the United States,NA,1971-05-11,92,NA,NA,NA,Pettis,California,NA,NA,NA,NA,NA,flag,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE
8737,"Davis, Richard. Proposed Amendments to the Constitution of the United States Introduced in Congress from the 91st Congress, 1st Session through the 98th Congress, 2d Session, January 1969-December 1984, (CRS Report No. 85-36 GOV), Washington: Congressional Research Service, 1985.",NARA,Flag of the United States,NA,1973-02-20,93,NA,NA,NA,Pettis,California,NA,NA,NA,NA,NA,flag,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE
9000,"Davis, Richard. Proposed Amendments to the Constitution of the United States Introduced in Congress from the 91st Congress, 1st Session through the 98th Congress, 2d Session, January 1969-December 1984, (CRS Report No. 85-36 GOV), Washington: Congressional Research Service, 1985.",NARA,"Flag of the United States, voluntary Pledge of Allegiance",NA,1975-01-14,94,NA,NA,NA,Pettis,California,NA,NA,NA,NA,NA,flag,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE
10631,"Harris, Daryl B. Proposed Amendments to the Constitution: 99th-101st Congress (1985-1990), (CRS Report No. 92-555 GOV), Washington: Congressional Research Service, 1992.",NARA,Prohibit desecration of the flag,express-,1989-06-22,101,NA,NA,NA,Bilirakis,Florida,NA,NA,NA,NA,NA,flag,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE
10632,"Harris, Daryl B. Proposed Amendments to the Constitution: 99th-101st Congress (1985-1990), (CRS Report No. 92-555 GOV), Washington: Congressional Research Service, 1992.",NARA,Prohibit desecration of the flag,express-,1989-06-22,101,NA,NA,NA,Wylie,Ohio,NA,NA,NA,NA,NA,flag,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE
10633,"Harris, Daryl B. Proposed Amendments to the Constitution: 99th-101st Congress (1985-1990), (CRS Report No. 92-555 GOV), Washington: Congressional Research Service, 1992.",NARA,Prohibit desecration of the flag,express-,1989-06-22,101,NA,NA,NA,Bentley,Maryland,NA,NA,NA,NA,NA,flag,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE
10634,"Harris, Daryl B. Proposed Amendments to the Constitution: 99th-101st Congress (1985-1990), (CRS Report No. 92-555 GOV), Washington: Congressional Research Service, 1992.",NARA,Prohibit desecration of the flag,express-,1989-06-22,101,NA,NA,NA,Bevill,Alabama,NA,NA,NA,NA,NA,flag,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE
10635,"Harris, Daryl B. Proposed Amendments to the Constitution: 99th-101st Congress (1985-1990), (CRS Report No. 92-555 GOV), Washington: Congressional Research Service, 1992.",NARA,Prohibit desecration of the flag,express-,1989-06-22,101,NA,NA,NA,Callahan,Alabama,NA,NA,NA,NA,NA,flag,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE
