id,source_citation,source_group,title_or_description_from_source,date,congress,congressional_session,joint_resolution_chamber,joint_resolution_number,sponsor_name,sponsor_state_or_territory,committee_of_referral,text_of_amendment,ratified_yn,ratified_amendment,notes,constitute_topic1,constitute_topic2,constitute_topic3,constitute_topic4,constitute_topic5,constitute_topic6,constitute_topic7,constitute_topic8,constitute_topic9,year,life_title,abort_title,life_text,abort_text,life
8511,"Davis, Richard. Proposed Amendments to the Constitution of the United States Introduced in Congress from the 91st Congress, 1st Session through the 98th Congress, 2d Session, January 1969-December 1984, (CRS Report No. 85-36 GOV), Washington: Congressional Research Service, 1985.",NARA,Right to life,1972-05-03,92,NA,NA,NA,Schmitz,California,NA,NA,NA,NA,NA,life+,NA,NA,NA,NA,NA,NA,NA,NA,1972,TRUE,FALSE,NA,NA,TRUE
8571,"Davis, Richard. Proposed Amendments to the Constitution of the United States Introduced in Congress from the 91st Congress, 1st Session through the 98th Congress, 2d Session, January 1969-December 1984, (CRS Report No. 85-36 GOV), Washington: Congressional Research Service, 1985.",NARA,Protection of unborn children and right to life,1973-05-31,93,NA,NA,NA,Buckley,New York,NA,NA,NA,NA,NA,life+,NA,NA,NA,NA,NA,NA,NA,NA,1973,TRUE,FALSE,NA,NA,TRUE
8573,"Davis, Richard. Proposed Amendments to the Constitution of the United States Introduced in Congress from the 91st Congress, 1st Session through the 98th Congress, 2d Session, January 1969-December 1984, (CRS Report No. 85-36 GOV), Washington: Congressional Research Service, 1985.",NARA,Right to life,1973-06-29,93,NA,NA,NA,Helms,North Carolina,NA,NA,NA,NA,NA,life+,NA,NA,NA,NA,NA,NA,NA,NA,1973,TRUE,FALSE,NA,NA,TRUE
8707,"Davis, Richard. Proposed Amendments to the Constitution of the United States Introduced in Congress from the 91st Congress, 1st Session through the 98th Congress, 2d Session, January 1969-December 1984, (CRS Report No. 85-36 GOV), Washington: Congressional Research Service, 1985.",NARA,Right to life,1973-01-30,93,NA,NA,NA,Hogan,Maryland,NA,NA,NA,NA,NA,life+,NA,NA,NA,NA,NA,NA,NA,NA,1973,TRUE,FALSE,NA,NA,TRUE
8711,"Davis, Richard. Proposed Amendments to the Constitution of the United States Introduced in Congress from the 91st Congress, 1st Session through the 98th Congress, 2d Session, January 1969-December 1984, (CRS Report No. 85-36 GOV), Washington: Congressional Research Service, 1985.",NARA,Right to life,1973-01-31,93,NA,NA,NA,Zwach,Minnesota,NA,NA,NA,NA,NA,life+,NA,NA,NA,NA,NA,NA,NA,NA,1973,TRUE,FALSE,NA,NA,TRUE
8712,"Davis, Richard. Proposed Amendments to the Constitution of the United States Introduced in Congress from the 91st Congress, 1st Session through the 98th Congress, 2d Session, January 1969-December 1984, (CRS Report No. 85-36 GOV), Washington: Congressional Research Service, 1985.",NARA,Right to life,1973-02-01,93,NA,NA,NA,Zwach,Minnesota,NA,NA,NA,NA,NA,life+,NA,NA,NA,NA,NA,NA,NA,NA,1973,TRUE,FALSE,NA,NA,TRUE
8715,"Davis, Richard. Proposed Amendments to the Constitution of the United States Introduced in Congress from the 91st Congress, 1st Session through the 98th Congress, 2d Session, January 1969-December 1984, (CRS Report No. 85-36 GOV), Washington: Congressional Research Service, 1985.",NARA,Right to life,1973-02-05,93,NA,NA,NA,Delaney,New York,NA,NA,NA,NA,NA,life+,NA,NA,NA,NA,NA,NA,NA,NA,1973,TRUE,FALSE,NA,NA,TRUE
8719,"Davis, Richard. Proposed Amendments to the Constitution of the United States Introduced in Congress from the 91st Congress, 1st Session through the 98th Congress, 2d Session, January 1969-December 1984, (CRS Report No. 85-36 GOV), Washington: Congressional Research Service, 1985.",NARA,Right to life,1973-02-05,93,NA,NA,NA,Zablocki,Wisconsin,NA,NA,NA,NA,NA,life+,NA,NA,NA,NA,NA,NA,NA,NA,1973,TRUE,FALSE,NA,NA,TRUE
8740,"Davis, Richard. Proposed Amendments to the Constitution of the United States Introduced in Congress from the 91st Congress, 1st Session through the 98th Congress, 2d Session, January 1969-December 1984, (CRS Report No. 85-36 GOV), Washington: Congressional Research Service, 1985.",NARA,Right to life,1973-02-21,93,NA,NA,NA,Erlenborn,Illinois,NA,NA,NA,NA,NA,life+,NA,NA,NA,NA,NA,NA,NA,NA,1973,TRUE,FALSE,NA,NA,TRUE
8749,"Davis, Richard. Proposed Amendments to the Constitution of the United States Introduced in Congress from the 91st Congress, 1st Session through the 98th Congress, 2d Session, January 1969-December 1984, (CRS Report No. 85-36 GOV), Washington: Congressional Research Service, 1985.",NARA,Right to life,1973-02-28,93,NA,NA,NA,Roncallo,New York,NA,NA,NA,NA,NA,life+,NA,NA,NA,NA,NA,NA,NA,NA,1973,TRUE,FALSE,NA,NA,TRUE
8753,"Davis, Richard. Proposed Amendments to the Constitution of the United States Introduced in Congress from the 91st Congress, 1st Session through the 98th Congress, 2d Session, January 1969-December 1984, (CRS Report No. 85-36 GOV), Washington: Congressional Research Service, 1985.",NARA,Right to life,1973-03-13,93,NA,NA,NA,Daniels,New Jersey,NA,NA,NA,NA,NA,life+,NA,NA,NA,NA,NA,NA,NA,NA,1973,TRUE,FALSE,NA,NA,TRUE
8755,"Davis, Richard. Proposed Amendments to the Constitution of the United States Introduced in Congress from the 91st Congress, 1st Session through the 98th Congress, 2d Session, January 1969-December 1984, (CRS Report No. 85-36 GOV), Washington: Congressional Research Service, 1985.",NARA,State jurisdiction over abortion,1973-03-13,93,NA,NA,NA,Whitehurst,Virginia,NA,NA,NA,NA,NA,life,NA,NA,NA,NA,NA,NA,NA,NA,1973,FALSE,TRUE,NA,NA,TRUE
8763,"Davis, Richard. Proposed Amendments to the Constitution of the United States Introduced in Congress from the 91st Congress, 1st Session through the 98th Congress, 2d Session, January 1969-December 1984, (CRS Report No. 85-36 GOV), Washington: Congressional Research Service, 1985.",NARA,State jurisdiction over abortion,1973-03-28,93,NA,NA,NA,Whitehurst,Virginia,NA,NA,NA,NA,NA,life,NA,NA,NA,NA,NA,NA,NA,NA,1973,FALSE,TRUE,NA,NA,TRUE
8765,"Davis, Richard. Proposed Amendments to the Constitution of the United States Introduced in Congress from the 91st Congress, 1st Session through the 98th Congress, 2d Session, January 1969-December 1984, (CRS Report No. 85-36 GOV), Washington: Congressional Research Service, 1985.",NARA,State jurisdiction over abortion,1973-03-29,93,NA,NA,NA,Whitehurst,Virginia,NA,NA,NA,NA,NA,life,NA,NA,NA,NA,NA,NA,NA,NA,1973,FALSE,TRUE,NA,NA,TRUE
8766,"Davis, Richard. Proposed Amendments to the Constitution of the United States Introduced in Congress from the 91st Congress, 1st Session through the 98th Congress, 2d Session, January 1969-December 1984, (CRS Report No. 85-36 GOV), Washington: Congressional Research Service, 1985.",NARA,Right to life,1973-04-02,93,NA,NA,NA,Hogan,Maryland,NA,NA,NA,NA,NA,life+,NA,NA,NA,NA,NA,NA,NA,NA,1973,TRUE,FALSE,NA,NA,TRUE
8771,"Davis, Richard. Proposed Amendments to the Constitution of the United States Introduced in Congress from the 91st Congress, 1st Session through the 98th Congress, 2d Session, January 1969-December 1984, (CRS Report No. 85-36 GOV), Washington: Congressional Research Service, 1985.",NARA,State jurisdiction over abortion,1973-04-04,93,NA,NA,NA,Ichord,Missouri,NA,NA,NA,NA,NA,life,NA,NA,NA,NA,NA,NA,NA,NA,1973,FALSE,TRUE,NA,NA,TRUE
8772,"Davis, Richard. Proposed Amendments to the Constitution of the United States Introduced in Congress from the 91st Congress, 1st Session through the 98th Congress, 2d Session, January 1969-December 1984, (CRS Report No. 85-36 GOV), Washington: Congressional Research Service, 1985.",NARA,State jurisdiction over abortion,1973-04-04,93,NA,NA,NA,Whitehurst,Virginia,NA,NA,NA,NA,NA,life,NA,NA,NA,NA,NA,NA,NA,NA,1973,FALSE,TRUE,NA,NA,TRUE
8779,"Davis, Richard. Proposed Amendments to the Constitution of the United States Introduced in Congress from the 91st Congress, 1st Session through the 98th Congress, 2d Session, January 1969-December 1984, (CRS Report No. 85-36 GOV), Washington: Congressional Research Service, 1985.",NARA,Right to life,1973-04-16,93,NA,NA,NA,Biaggi,New York,NA,NA,NA,NA,NA,life+,NA,NA,NA,NA,NA,NA,NA,NA,1973,TRUE,FALSE,NA,NA,TRUE
8782,"Davis, Richard. Proposed Amendments to the Constitution of the United States Introduced in Congress from the 91st Congress, 1st Session through the 98th Congress, 2d Session, January 1969-December 1984, (CRS Report No. 85-36 GOV), Washington: Congressional Research Service, 1985.",NARA,State jurisdiction over abortion,1973-04-18,93,NA,NA,NA,Whitehurst,Virginia,NA,NA,NA,NA,NA,life,NA,NA,NA,NA,NA,NA,NA,NA,1973,FALSE,TRUE,NA,NA,TRUE
8784,"Davis, Richard. Proposed Amendments to the Constitution of the United States Introduced in Congress from the 91st Congress, 1st Session through the 98th Congress, 2d Session, January 1969-December 1984, (CRS Report No. 85-36 GOV), Washington: Congressional Research Service, 1985.",NARA,Right to life,1973-05-02,93,NA,NA,NA,O'Brien,Illinois,NA,NA,NA,NA,NA,life+,NA,NA,NA,NA,NA,NA,NA,NA,1973,TRUE,FALSE,NA,NA,TRUE
8786,"Davis, Richard. Proposed Amendments to the Constitution of the United States Introduced in Congress from the 91st Congress, 1st Session through the 98th Congress, 2d Session, January 1969-December 1984, (CRS Report No. 85-36 GOV), Washington: Congressional Research Service, 1985.",NARA,State jurisdiction over abortion,1973-05-07,93,NA,NA,NA,Whitehurst,Virginia,NA,NA,NA,NA,NA,life,NA,NA,NA,NA,NA,NA,NA,NA,1973,FALSE,TRUE,NA,NA,TRUE
8791,"Davis, Richard. Proposed Amendments to the Constitution of the United States Introduced in Congress from the 91st Congress, 1st Session through the 98th Congress, 2d Session, January 1969-December 1984, (CRS Report No. 85-36 GOV), Washington: Congressional Research Service, 1985.",NARA,Right to life,1973-05-21,93,NA,NA,NA,Gaydos,Pennsylvania,NA,NA,NA,NA,NA,life+,NA,NA,NA,NA,NA,NA,NA,NA,1973,TRUE,FALSE,NA,NA,TRUE
8798,"Davis, Richard. Proposed Amendments to the Constitution of the United States Introduced in Congress from the 91st Congress, 1st Session through the 98th Congress, 2d Session, January 1969-December 1984, (CRS Report No. 85-36 GOV), Washington: Congressional Research Service, 1985.",NARA,Right to life,1973-06-06,93,NA,NA,NA,King,New York,NA,NA,NA,NA,NA,life+,NA,NA,NA,NA,NA,NA,NA,NA,1973,TRUE,FALSE,NA,NA,TRUE
8800,"Davis, Richard. Proposed Amendments to the Constitution of the United States Introduced in Congress from the 91st Congress, 1st Session through the 98th Congress, 2d Session, January 1969-December 1984, (CRS Report No. 85-36 GOV), Washington: Congressional Research Service, 1985.",NARA,Right to life,1973-06-07,93,NA,NA,NA,Quie,Minnesota,NA,NA,NA,NA,NA,life+,NA,NA,NA,NA,NA,NA,NA,NA,1973,TRUE,FALSE,NA,NA,TRUE
8807,"Davis, Richard. Proposed Amendments to the Constitution of the United States Introduced in Congress from the 91st Congress, 1st Session through the 98th Congress, 2d Session, January 1969-December 1984, (CRS Report No. 85-36 GOV), Washington: Congressional Research Service, 1985.",NARA,Right to life,1973-06-21,93,NA,NA,NA,O'Brien,Illinois,NA,NA,NA,NA,NA,life+,NA,NA,NA,NA,NA,NA,NA,NA,1973,TRUE,FALSE,NA,NA,TRUE
8816,"Davis, Richard. Proposed Amendments to the Constitution of the United States Introduced in Congress from the 91st Congress, 1st Session through the 98th Congress, 2d Session, January 1969-December 1984, (CRS Report No. 85-36 GOV), Washington: Congressional Research Service, 1985.",NARA,Right to life,1973-06-27,93,NA,NA,NA,McEwen,New York,NA,NA,NA,NA,NA,life+,NA,NA,NA,NA,NA,NA,NA,NA,1973,TRUE,FALSE,NA,NA,TRUE
8817,"Davis, Richard. Proposed Amendments to the Constitution of the United States Introduced in Congress from the 91st Congress, 1st Session through the 98th Congress, 2d Session, January 1969-December 1984, (CRS Report No. 85-36 GOV), Washington: Congressional Research Service, 1985.",NARA,State jurisdiction over abortion,1973-06-28,93,NA,NA,NA,Harvey,Michigan,NA,NA,NA,NA,NA,life,NA,NA,NA,NA,NA,NA,NA,NA,1973,FALSE,TRUE,NA,NA,TRUE
