id,source_citation,source_group,title_or_description_from_source,date,congress,congressional_session,joint_resolution_chamber,joint_resolution_number,sponsor_name,sponsor_state_or_territory,committee_of_referral,text_of_amendment,ratified_yn,ratified_amendment,notes,constitute_topic1,constitute_topic2,constitute_topic3,constitute_topic4,constitute_topic5,constitute_topic6,constitute_topic7,constitute_topic8,constitute_topic9
6126,"Proposed Amendments to the Constitution of the United States Introduced in Congress from the 88th Congress, 1st Session through the 90th Congress 2d Session, January 9, 1963 to January 3, 1969, S. Doc. No. 91-38, 91st Cong. 2d Sess., Washington: U.S. Government Printing Office, 1969.",NARA,"Prayer in public schools, and right to public support for parents whose children attend nonpublic schools",1964-05-26,88,NA,NA,NA,Carey,New York,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11619,"United States Congress. Congress.gov: Legislation. Washington, D.C.: U. S. Congress, undated. https://www.congress.gov",NARA,Proposing an amendment to the Constitution of the United States relating to parental rights.,2008-06-26,110,NA,NA,NA,"Hoekstra, Peter",Michigan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11658,"United States Congress. Congress.gov: Legislation. Washington, D.C.: U. S. Congress, undated. https://www.congress.gov",NARA,Proposing an amendment to the Constitution of the United States relating to parental rights.,2009-03-31,111,NA,NA,NA,"Hoekstra, Peter",Michigan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11695,"United States Congress. Congress.gov: Legislation. Washington, D.C.: U. S. Congress, undated. https://www.congress.gov",NARA,A joint resolution proposing an amendment to the Constitution of the United States relative to parental rights.,2009-03-03,111,NA,NA,NA,"Vitter, David",Louisiana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11697,"United States Congress. Congress.gov: Legislation. Washington, D.C.: U. S. Congress, undated. https://www.congress.gov",NARA,A joint resolution proposing an amendment to the Constitution of the United States relative to parental rights.,2009-05-14,111,NA,NA,NA,"DeMint, Jim",South Carolina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11709,"United States Congress. Congress.gov: Legislation. Washington, D.C.: U. S. Congress, undated. https://www.congress.gov",NARA,Proposing an amendment to the Constitution of the United States relating to parental rights.,2011-01-05,112,NA,NA,NA,"Fleming, John",Louisiana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11776,"United States Congress. Congress.gov: Legislation. Washington, D.C.: U. S. Congress, undated. https://www.congress.gov",NARA,Proposing an amendment to the Constitution of the United States relating to parental rights.,2012-03-29,112,NA,NA,NA,"Franks, Trent",Arizona,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11777,"United States Congress. Congress.gov: Legislation. Washington, D.C.: U. S. Congress, undated. https://www.congress.gov",NARA,Proposing an amendment to the Constitution of the United States relating to parental rights.,2012-06-05,112,NA,NA,NA,"Franks, Trent",Arizona,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11797,"United States Congress. Congress.gov: Legislation. Washington, D.C.: U. S. Congress, undated. https://www.congress.gov",NARA,A joint resolution proposing an amendment to the Constitution of the United States relative to parental rights.,2011-06-05,112,NA,NA,NA,"DeMint, Jim",South Carolina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11844,"United States Congress. Congress.gov: Legislation. Washington, D.C.: U. S. Congress, undated. https://www.congress.gov",NARA,Proposing an amendment to the Constitution of the United States relating to parental rights.,2013-06-18,113,NA,NA,NA,"Meadows, Mark",North Carolina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11880,"United States Congress. Congress.gov: Legislation. Washington, D.C.: U. S. Congress, undated. https://www.congress.gov",NARA,A joint resolution proposing an amendment to the Constitution of the United States relating to parental rights.,2014-06-04,113,NA,NA,NA,"Graham, Lindsey",South Carolina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
