id,source_citation,source_group,title_or_description_from_source,date,congress,congressional_session,joint_resolution_chamber,joint_resolution_number,sponsor_name,sponsor_state_or_territory,committee_of_referral,text_of_amendment,ratified_yn,ratified_amendment,notes,constitute_topic1,constitute_topic2,constitute_topic3,constitute_topic4,constitute_topic5,constitute_topic6,constitute_topic7,constitute_topic8,constitute_topic9
6,"Ames, Herman V. The Proposed Amendments to the Constitution of the United States During the First Century of Its History, American Historical Society Annual Report for the year 1896; H. Doc. 353 part 2, 54th Cong., 2d Session, volume 3550-2, Washington: U.S. Government Printing Office, 1897., Elliot Jonathan (Editor). Debates in the Several State Conventions, on the Adoption of the Federal Constitution, as Recommended by the General Convention at Philadelphia, in 1787. vol. 1, Philadelphia, J. B. Lippincott Company, 323.",State Ratifying Conventions,Indictment by grand jury,1788-02-06,1,,NA,NA,Massachusetts State Ratifying Convention,Massachusetts,NA,"That no person shall be tried for any crime by which he may incur an infamous punishment, or loss of life, until he be first indicted by a grand jury, except in such cases as may arise in the government and regulation of the land and naval forces.",y,5,NA,jury,,,,,,,,
8,"Ames, Herman V. The Proposed Amendments to the Constitution of the United States During the First Century of Its History, American Historical Society Annual Report for the year 1896; H. Doc. 353 part 2, 54th Cong., 2d Session, volume 3550-2, Washington: U.S. Government Printing Office, 1897., Elliot Jonathan (Editor). Debates in the Several State Conventions, on the Adoption of the Federal Constitution, as Recommended by the General Convention at Philadelphia, in 1787. vol. 1, Philadelphia, J. B. Lippincott Company, 323.",State Ratifying Conventions,Trial by jury in civil action,1788-02-06,1,,NA,NA,Massachusetts State Ratifying Convention,Massachusetts,NA,"In civil actions between citizens of different states, every issue of fact, arising in actions at common law, shall be tried by a jury, if the parties, or either of them, request it.",y,7,NA,jury,,,,,,,,
19,"Ames, Herman V. The Proposed Amendments to the Constitution of the United States During the First Century of Its History, American Historical Society Annual Report for the year 1896; H. Doc. 353 part 2, 54th Cong., 2d Session, volume 3550-2, Washington: U.S. Government Printing Office, 1897., Elliot Jonathan (Editor). Debates in the Several State Conventions, on the Adoption of the Federal Constitution, as Recommended by the General Convention at Philadelphia, in 1787. vol. 1, Philadelphia, J. B. Lippincott Company, 326.",State Ratifying Conventions,Indictment by grand jury,1788-06-21,1,,NA,NA,New Hampshire State Ratifying Convention,New Hampshire,NA,"That no person shall be tried for any crime by which he may incur an infamous punishment, or loss of life, until he first be indicted by a grand jury, except in such cases as may arise in the government and regulation of the land and naval forces.",y,5,NA,jury,,,,,,,,
21,"Ames, Herman V. The Proposed Amendments to the Constitution of the United States During the First Century of Its History, American Historical Society Annual Report for the year 1896; H. Doc. 353 part 2, 54th Cong., 2d Session, volume 3550-2, Washington: U.S. Government Printing Office, 1897., Elliot Jonathan (Editor). Debates in the Several State Conventions, on the Adoption of the Federal Constitution, as Recommended by the General Convention at Philadelphia, in 1787. vol. 1, Philadelphia, J. B. Lippincott Company, 326.",State Ratifying Conventions,Trial by jury in civil cases,1788-06-21,1,,NA,NA,New Hampshire State Ratifying Convention,New Hampshire,NA,"In civil actions between citizens of different states, every issue of fact, arising in actions at common law, shall be tried by jury, if the parties, or either of them, request it.",y,7,NA,jury,,,,,,,,
33,"Elliot Jonathan (Editor). Debates in the Several State Conventions, on the Adoption of the Federal Constitution, as Recommended by the General Convention at Philadelphia, in 1787. vol. 3, Philadelphia, J. B. Lippincott Company, 658.",State Ratifying Conventions,Witness and Self Incrimination,1788-06-27,1,,NA,NA,Virginia State Ratifying Convention,Virginia,NA,"That, in all criminal and capital prosecutions, a man hath a right to demand the cause and nature of his accusation, to be confronted with the accusers and witnesses, to call for evidence, and be allowed counsel in his favor, and to a fair and speedy trial by an impartial jury of his vicinage, without whose unanimous consent he cannot be found guilty, (except in the government of the land and naval forces;) nor can he be compelled to give evidence against himself.",y,"5, 6",Proposed Bill of Rights,examwit,miranda+,,,,,,,
34,"Elliot Jonathan (Editor). Debates in the Several State Conventions, on the Adoption of the Federal Constitution, as Recommended by the General Convention at Philadelphia, in 1787. vol. 3, Philadelphia, J. B. Lippincott Company, 658.",State Ratifying Conventions,Due Process,1788-06-27,1,,NA,NA,Virginia State Ratifying Convention,Virginia,NA,"That no freeman ought to be taken, imprisoned, or disseized of his freehold, liberties, privileges, or franchises, or outlawed, or exiled, or in any manner destroyed, or deprived of his life, liberty, or property, but by the law of the land.",y,5,Proposed Bill of Rights,dueproc+,,,,,,,,
36,"Elliot Jonathan (Editor). Debates in the Several State Conventions, on the Adoption of the Federal Constitution, as Recommended by the General Convention at Philadelphia, in 1787. vol. 3, Philadelphia, J. B. Lippincott Company, 658.",State Ratifying Conventions,Trial by Jury in Civil Cases,1788-06-27,1,,NA,NA,Virginia State Ratifying Convention,Virginia,NA,"That, in controversies respecting property, and in suits between man and man, the ancient trial by jury is one of the greatest securities to the rights of the people, and to remain sacred and inviolable.",y,7,Proposed Bill of Rights,jury+,,,,,,,,
35,"Elliot Jonathan (Editor). Debates in the Several State Conventions, on the Adoption of the Federal Constitution, as Recommended by the General Convention at Philadelphia, in 1787. vol. 3, Philadelphia, J. B. Lippincott Company, 658.",State Ratifying Conventions,Remedy for Wrong,1788-06-27,1,,NA,NA,Virginia State Ratifying Convention,Virginia,NA,"That every freeman restrained of his liberty is entitled to a remedy, to inquire into the lawfulness thereof, and to remove the same, if unlawful, and that such remedy ought not to be denied nor delayed.",NA,NA,Proposed Bill of Rights,habcorp+,,,,,,,,
60,"Ames, Herman V. The Proposed Amendments to the Constitution of the United States During the First Century of Its History, American Historical Society Annual Report for the year 1896; H. Doc. 353 part 2, 54th Cong., 2d Session, volume 3550-2, Washington: U.S. Government Printing Office, 1897., Elliot Jonathan (Editor). Debates in the Several State Conventions, on the Adoption of the Federal Constitution, as Recommended by the General Convention at Philadelphia, in 1787. vol. 3, Philadelphia, J. B. Lippincott Company, 661.",State Ratifying Conventions,Rights of defendant in criminal trials,1788-06-27,1,,NA,NA,Virginia State Ratifying Convention,Virginia,NA,"That, in criminal prosecutions, no man shall be restrained in the exercise of the usual and accustomed right of challenging or excepting to the jury.",y,6,NA,jury+,,,,,,,,
75,"Elliot Jonathan (Editor). Debates in the Several State Conventions, on the Adoption of the Federal Constitution, as Recommended by the General Convention at Philadelphia, in 1787. Philadelphia, J. B. Lippincott Company, 328.",State Ratifying Conventions,Due Process,1788-07-26,1,,NA,NA,New York State Ratifying Convention,New York,NA,"That no person ought to be taken, imprisoned, or disseized of his freehold, or be exiled, or deprived of'his privileges, franchises, life, liberty, or property, but by due process of law.",y,5,Proposed Bill of Rights,dueproc+,,,,,,,,
