,Date,Type,Action,Links,Bill:,Congress-Session:
0,"March 09, 1928",status,Ordered to be Printed with House Amendment,,SJRes 47,70- 1
1,"March 09, 1928",status,Star (No.) Print of an Amendment,,SJRes 47,70- 1
2,"January 20, 1928",status,Reported in House,,SJRes 47,70- 1
3,"January 06, 1928",status,Referred to Committee House,,SJRes 47,70- 1
4,"December 17, 1927",status,Reported in Senate,,SJRes 47,70- 1
5,"December 15, 1927",status,Introduced in the Senate,,SJRes 47,70- 1
6,"January 04, 2007",status,Introduced in the House,153 Cong Rec H119,HJRes 4,110- 1
7,"January 04, 2007",referral,Referred to House Committee on the Judiciary,153 Cong Rec H119,HJRes 4,110- 1
8,"January 04, 2005",referral,Referred to the House Committee on the Judiciary,151 Cong Rec X 0,HJRes 8,109- 1
9,"July 26, 1995",referral,Referred to the House Judiciary Committee,141 Cong Rec H 7801,HJRes 104,104- 1
10,"January 21, 2010",status,Introduced in the House,156 Cong Rec H326,HJRes 70,111- 2
11,"January 21, 2010",referral,Referred to the House Committee on the Judiciary.,156 Cong Rec H326,HJRes 70,111- 2
12,"June 25, 1997",referral,Referred to the House Judiciary Committee,143 Cong Rec H 4646,HJRes 85,105- 1
13,"November 16, 1993",status,Cosponsor(s) added,139 Cong Rec H 9854,HJRes 181,103- 1
14,"October 14, 1993",status,Cosponsor(s) added,139 Cong Rec H 8002,HJRes 181,103- 1
15,"June 10, 1993",status,Cosponsor(s) added,139 Cong Rec H 3457,HJRes 181,103- 1
16,"April 21, 1993",referral,Referred to the House Judiciary Committee,139 Cong Rec H 1992,HJRes 181,103- 1
17,"January 05, 1892",status,Referred to Committee House,,HRes 16,52- 1
18,"September 21, 1893",status,Referred to Committee House,,HRes 51,53- 1
19,"January 05, 1892",status,Referred to Committee House,,HRes 2,52- 1
20,"January 05, 1892",status,Referred to Committee House,,HRes 6,52- 1
21,"July 22, 1991",referral,Referred to the House Judiciary Committee,137 Cong Rec H 5665,HJRes 310,102- 1
22,"May 23, 1991",status,Cosponsors added,137 Cong Rec H 3624,HJRes 101,102- 1
23,"February 21, 1991",status,Cosponsors added,137 Cong Rec H 1138,HJRes 101,102- 1
24,"January 30, 1991",status,Remarks by Rep. Sabo,137 Cong Rec E 356,HJRes 101,102- 1
25,"January 30, 1991",referral,Referred to the House Judiciary Committee,137 Cong Rec H 825,HJRes 101,102- 1
26,"January 05, 1892",status,Referred to Committee House,,HRes 20,52- 1
27,"January 19, 1989",referral,Referred to House Committee on the Judiciary,135 Cong Rec H 87,HJRes 73,101- 1
28,"December 04, 1893",status,Referred to Committee House,,HRes 90,53- 2
29,"January 05, 1892",status,Referred to Committee House,,HRes 7,52- 1
30,"January 05, 1892",status,Referred to Committee House,,HRes 21,52- 1
31,"January 26, 1994",referral,Referred to the House Judiciary Committee,140 Cong Rec H 83,HJRes 307,103- 2
32,"February 17, 2005",referral,Referred to House Committee on the Judiciary,151 Cong Rec H 796,HJRes 24,109- 1
33,"March 20, 2001",referral,Referred to House Committee on the Judiciary,147 Cong Rec H 1012,HJRes 39,107- 1
34,"March 01, 1886",status,Referred to Committee House,,HRes 131,49- 1
35,"February 25, 2003",referral,Referred to House Committee on the Judiciary,149 Cong Rec H 1333,HJRes 25,108- 1
36,"January 27, 1993",referral,Referred to the House Judiciary Committee,139 Cong Rec H 310,HJRes 81,103- 1
37,"January 24, 2011",status,Introduced in the House,157 Cong Rec H434,HJRes 22,112- 1
38,"January 24, 2011",referral,Referred to the House Committee on the Judiciary.,157 Cong Rec H434,HJRes 22,112- 1
39,"May 23, 1951",status,Referred with Amendments Senate,,SJRes 3,82- 1
40,"January 08, 1951",status,Introduced in the Senate,,SJRes 3,82- 1
