,Date,Type,Committee,Bill:,Congress-Session:
0,"March 25, 2009",referral,House Committee on the Judiciary,HJRes 41,111- 1
1,"March 30, 1993",referral,House Judiciary Committee,HJRes 167,103- 1
2,"March 06, 1997",referral,House Judiciary Committee,HJRes 60,105- 1
3,"August 01, 1994",referral,House Judiciary Committee,HJRes 396,103- 2
4,"April 29, 2004",referral,House Committee on the Judiciary,HJRes 94,108- 2
5,"May 04, 2006",referral,House Committee on the Judiciary,HJRes 85,109- 2
6,"February 25, 2019",referral,House Committee on the Judiciary,HJRes 49,116- 1
7,"March 29, 2007",referral,House Committee on the Judiciary,HJRes 41,110- 1
8,"November 04, 2011",referral,House Committee on the Judiciary,HJRes 84,112- 1
9,"April 26, 2013",referral,House Committee on the Judiciary,HJRes 42,113- 1
10,"March 11, 1992",referral,House Judiciary Committee,HJRes 438,102- 2
11,"March 23, 1993",referral,House Judiciary Committee,HJRes 160,103- 1
12,"January 22, 2013",referral,House Committee on the Judiciary,HJRes 21,113- 1
13,"January 31, 1989",referral,Senate Judiciary Committee,SJRES 36,101- 1
14,"March 02, 2005",referral,House Committee on the Judiciary,HJRes 30,109- 1
15,"June 22, 1989",referral,House Judiciary Committee,HJRes 323,101- 1
16,"January 03, 1989",referral,House Judiciary Committee,HR 364,101- 1
17,"January 04, 1991",referral,House Judiciary Committee,HJRes 46,102- 1
18,"July 26, 1995",referral,House Judiciary Committee,HJRes 105,104- 1
19,"January 04, 2007",referral,House Committee on the Judiciary,HJRes 6,110- 1
20,"January 21, 2010",referral,House Committee on the Judiciary,HJRes 71,111- 2
21,"March 01, 1995",referral,House Judiciary Committee,HJRes 71,104- 1
22,"January 18, 1991",referral,House Judiciary Committee,HJRes 81,102- 1
23,"March 11, 2019",referral,Senate Committee on the Judiciary,S 736,116- 1
24,"September 24, 2020",referral,House Committee on the Judiciary,HJRes 95,116- 2
25,"January 04, 2005",referral,House Committee on the Judiciary,HJRes 1,109- 1
26,"February 13, 2007",referral,House Committee on the Judiciary,HJRes 29,110- 1
27,"April 14, 2005",referral,House Committee on the Judiciary,HJRes 42,109- 1
28,"March 24, 1993",referral,House Judiciary Committee,HJRes 164,103- 1
29,"January 04, 1995",referral,House Judiciary Committee,HJRes 48,104- 1
30,"May 23, 1995",referral,House Judiciary Committee,HJRes 91,104- 1
31,"March 16, 1994",referral,House Judiciary Committee,HJRes 340,103- 2
32,"February 14, 2011",referral,House Committee on the Judiciary,HJRes 34,112- 1
33,"January 20, 1989",referral,House Judiciary Committee,HJRes 87,101- 1
34,"March 23, 2017",referral,House Committee on the Judiciary,HJRes 91,115- 1
35,"January 22, 2021",referral,Senate Committee on the Judiciary,SJRes 4,117- 1
36,"January 06, 2009",referral,House Committee on the Judiciary,HJRes 2,111- 1
37,"March 06, 2001",referral,House Committee on the Judiciary,HJRes 29,107- 1
38,"June 29, 1989",referral,House Judiciary Committee,HJRes 350,101- 1
39,"February 04, 1997",referral,House Judiciary Committee,HJRes 39,105- 1
40,"July 26, 2018",referral,House Committee on the Judiciary,HJRes 137,115- 2
41,"January 24, 2019",referral,House Committee on the Judiciary,HJRes 34,116- 1
42,"February 08, 1995",referral,House Judiciary Committee,HJRes 68,104- 1
43,"June 25, 1997",referral,House Judiciary Committee,HJRes 87,105- 1
44,"March 03, 2009",referral,House Committee on the Judiciary,HJRes 30,111- 1
45,"March 02, 2005",referral,House Committee on the Judiciary,HJRes 34,109- 1
