,Name,Party,State,Bill:,Congress-Session:,Category
0,Herman Lehlbach,Republican Party,New Jersey,HRes 17,51- 1,Primary
1,Robert Kenneth Dornan,Republican Party,California,HJRes 93,102- 1,Primary
2,William Orton,Democratic Party,Utah,HJRes 123,103- 1,Primary
3,Dana T. Rohrabacher,Republican Party,California,HJRes 104,108- 2,Primary
4,John T. Doolittle,Republican Party,California,HJRes 109,104- 1,Primary
5,Ken S. Calvert,Republican Party,California,HJRes 109,104- 1,Cosponsor
6,Robert Kenneth Dornan,Republican Party,California,HJRes 109,104- 1,Cosponsor
7,Stephen Horn,Republican Party,California,HJRes 109,104- 1,Cosponsor
8,Carlos John Moorhead,Republican Party,California,HJRes 109,104- 1,Cosponsor
9,Edward R. Royce,Republican Party,California,HJRes 109,104- 1,Cosponsor
10,Christopher H. Shays,Republican Party,Connecticut,HJRes 109,104- 1,Cosponsor
11,Helen Chenoweth-Hage,Republican Party,Idaho,HJRes 109,104- 1,Cosponsor
12,William O. Lipinski,Democratic Party,Illinois,HJRes 109,104- 1,Cosponsor
13,Melton D. Hancock,Republican Party,Missouri,HJRes 109,104- 1,Cosponsor
14,James V. Hansen,Republican Party,Utah,HJRes 109,104- 1,Cosponsor
15,Jesse Louis Jackson Jr.,Democratic Party,Illinois,HJRes 30,108- 1,Primary
16,Raúl M. Grijalva,Democratic Party,Arizona,HJRes 30,108- 1,Cosponsor
17,Barbara Lee,Democratic Party,California,HJRes 30,108- 1,Cosponsor
18,Bob Filner,Democratic Party,California,HJRes 30,108- 1,Cosponsor
19,Diane E. Watson,Democratic Party,California,HJRes 30,108- 1,Cosponsor
20,Juanita Millender-McDonald,Democratic Party,California,HJRes 30,108- 1,Cosponsor
21,Maxine Waters,Democratic Party,California,HJRes 30,108- 1,Cosponsor
22,Peter Deutsch,Democratic Party,Florida,HJRes 30,108- 1,Cosponsor
23,Alcee L. Hastings,Democratic Party,Florida,HJRes 30,108- 1,Cosponsor
24,Kendrick Brett Meek,Democratic Party,Florida,HJRes 30,108- 1,Cosponsor
25,Sanford D. Bishop Jr.,Democratic Party,Georgia,HJRes 30,108- 1,Cosponsor
26,Bobby L. Rush,Democratic Party,Illinois,HJRes 30,108- 1,Cosponsor
27,Janice D. Schakowsky,Democratic Party,Illinois,HJRes 30,108- 1,Cosponsor
28,Danny K. Davis,Democratic Party,Illinois,HJRes 30,108- 1,Cosponsor
29,Luis V. Gutiérrez,Democratic Party,Illinois,HJRes 30,108- 1,Cosponsor
30,Julia M. Carson,Democratic Party,Indiana,HJRes 30,108- 1,Cosponsor
31,Elijah E. Cummings,Democratic Party,Maryland,HJRes 30,108- 1,Cosponsor
32,John Conyers Jr.,Democratic Party,Michigan,HJRes 30,108- 1,Cosponsor
33,Carolyn Cheeks Kilpatrick,Democratic Party,Michigan,HJRes 30,108- 1,Cosponsor
34,Bennie G. Thompson,Democratic Party,Mississippi,HJRes 30,108- 1,Cosponsor
35,Wm. Lacy Clay Jr.,Democratic Party,Missouri,HJRes 30,108- 1,Cosponsor
36,Donald M. Payne,Democratic Party,New Jersey,HJRes 30,108- 1,Cosponsor
37,Maurice D. Hinchey,Democratic Party,New York,HJRes 30,108- 1,Cosponsor
38,Edolphus Towns,Democratic Party,New York,HJRes 30,108- 1,Cosponsor
39,Melvin L. Watt,Democratic Party,North Carolina,HJRes 30,108- 1,Cosponsor
40,Dennis J. Kucinich,Democratic Party,Ohio,HJRes 30,108- 1,Cosponsor
41,Stephanie Tubbs Jones,Democratic Party,Ohio,HJRes 30,108- 1,Cosponsor
42,Tim J. Ryan,Democratic Party,Ohio,HJRes 30,108- 1,Cosponsor
43,Chaka Fattah,Democratic Party,Pennsylvania,HJRes 30,108- 1,Cosponsor
44,Patrick Joseph Kennedy,Democratic Party,Rhode Island,HJRes 30,108- 1,Cosponsor
45,James E. Clyburn,Democratic Party,South Carolina,HJRes 30,108- 1,Cosponsor
46,Sheila Jackson Lee,Democratic Party,Texas,HJRes 30,108- 1,Cosponsor
47,Donna M. Christensen,Democratic Party,Virgin Islands,HJRes 30,108- 1,Cosponsor
48,Robert C. Scott,Democratic Party,Virginia,HJRes 30,108- 1,Cosponsor
49,Eleanor Holmes Norton,Democratic Party,the District of Columbia,HJRes 30,108- 1,Cosponsor
50,John T. Doolittle,Republican Party,California,HJRes 16,107- 1,Primary
51,Ken S. Calvert,Republican Party,California,HJRes 16,107- 1,Cosponsor
52,Virgil H. Goode Jr.,Republican Party,Virginia,HJRes 16,107- 1,Cosponsor
53,John T. Doolittle,Republican Party,California,HJRes 171,103- 1,Primary
54,Spencer Thomas Bachus III,Republican Party,Alabama,HJRes 171,103- 1,Cosponsor
55,Robert Stump,Republican Party,Arizona,HJRes 171,103- 1,Cosponsor
56,William P. Baker,Republican Party,California,HJRes 171,103- 1,Cosponsor
57,Robert Kenneth Dornan,Republican Party,California,HJRes 171,103- 1,Cosponsor
58,Carlos John Moorhead,Republican Party,California,HJRes 171,103- 1,Cosponsor
59,Jack Kingston,Republican Party,Georgia,HJRes 171,103- 1,Cosponsor
60,William O. Lipinski,Democratic Party,Illinois,HJRes 171,103- 1,Cosponsor
61,John Edward Porter,Republican Party,Illinois,HJRes 171,103- 1,Cosponsor
62,Philip M. Crane,Republican Party,Illinois,HJRes 171,103- 1,Cosponsor
63,Roscoe G. Bartlett,Republican Party,Maryland,HJRes 171,103- 1,Cosponsor
64,Bill Barrett,Republican Party,Nebraska,HJRes 171,103- 1,Cosponsor
65,Gerald Brooks Hunt Solomon,Republican Party,New York,HJRes 171,103- 1,Cosponsor
66,Michael G. Oxley,Republican Party,Ohio,HJRes 171,103- 1,Cosponsor
67,Floyd Spence,Republican Party,South Carolina,HJRes 171,103- 1,Cosponsor
68,John J. Duncan Jr.,Republican Party,Tennessee,HJRes 171,103- 1,Cosponsor
69,Richard K. Armey,Republican Party,Texas,HJRes 171,103- 1,Cosponsor
70,Mark Adam Foley,Republican Party,Florida,HJRes 26,105- 1,Primary
71,H. L. Callahan,Republican Party,Alabama,HJRes 26,105- 1,Cosponsor
72,Don E. Young,Republican Party,Alaska,HJRes 26,105- 1,Cosponsor
73,Ken S. Calvert,Republican Party,California,HJRes 26,105- 1,Cosponsor
74,John T. Doolittle,Republican Party,California,HJRes 26,105- 1,Cosponsor
75,Howard P. McKeon,Republican Party,California,HJRes 26,105- 1,Cosponsor
76,Dana T. Rohrabacher,Republican Party,California,HJRes 26,105- 1,Cosponsor
77,Edward R. Royce,Republican Party,California,HJRes 26,105- 1,Cosponsor
78,Jay Kim,Republican Party,California,HJRes 26,105- 1,Cosponsor
79,Christopher H. Shays,Republican Party,Connecticut,HJRes 26,105- 1,Cosponsor
80,David J. Weldon Jr.,Republican Party,Florida,HJRes 26,105- 1,Cosponsor
81,E. Clay Shaw Jr.,Republican Party,Florida,HJRes 26,105- 1,Cosponsor
82,Tillie K. Fowler,Republican Party,Florida,HJRes 26,105- 1,Cosponsor
83,Michael Allen Collins,Republican Party,Georgia,HJRes 26,105- 1,Cosponsor
84,Nathan Deal,Republican Party,Georgia,HJRes 26,105- 1,Cosponsor
85,Helen Chenoweth-Hage,Republican Party,Idaho,HJRes 26,105- 1,Cosponsor
86,Anne Meagher Northup,Republican Party,Kentucky,HJRes 26,105- 1,Cosponsor
87,Richard Hugh Baker,Republican Party,Louisiana,HJRes 26,105- 1,Cosponsor
88,James O. McCrery III,Republican Party,Louisiana,HJRes 26,105- 1,Cosponsor
89,Jo Ann H. Emerson,Republican Party,Missouri,HJRes 26,105- 1,Cosponsor
90,Douglas K. Bereuter,Republican Party,Nebraska,HJRes 26,105- 1,Cosponsor
91,Howard Coble,Republican Party,North Carolina,HJRes 26,105- 1,Cosponsor
92,Richard M. Burr,Republican Party,North Carolina,HJRes 26,105- 1,Cosponsor
93,Ronald E. Paul,Republican Party,Texas,HJRes 26,105- 1,Cosponsor
94,Virgil H. Goode Jr.,Democratic Party,Virginia,HJRes 26,105- 1,Cosponsor
95,Bob W. Goodlatte,Republican Party,Virginia,HJRes 26,105- 1,Cosponsor
96,Jack Metcalf,Republican Party,Washington,HJRes 26,105- 1,Cosponsor
97,Scott L. Klug,Republican Party,Wisconsin,HJRes 26,105- 1,Cosponsor
98,F. James Sensenbrenner Jr.,Republican Party,Wisconsin,HJRes 26,105- 1,Cosponsor
99,Bob Barr,Republican Party,Georgia,HJRes 4,105- 1,Primary
100,Major R. Owens,Democratic Party,New York,HJRes 65,102- 1,Primary
101,John Ashcroft,Republican Party,Missouri,SJRes 36,104- 1,Primary
102,George Hanks Brown,Republican Party,Colorado,SJRes 36,104- 1,Cosponsor
103,H. Morgan Griffith,Republican Party,Virginia,HJRes 46,112- 1,Primary
104,David B. McKinley,Republican Party,West Virginia,HJRes 46,112- 1,Cosponsor
105,William Orton,Democratic Party,Utah,HJRes 504,102- 2,Primary
106,John W. Cox Jr.,Democratic Party,Illinois,HJRes 504,102- 2,Cosponsor
107,Jesse Louis Jackson Jr.,Democratic Party,Illinois,HJRes 31,107- 1,Primary
