,Title:,Congress-Session:,Date:,Citation:,Bill:,Bill Profile:,Bill Status:,Bill Sponsor:,Permalink:,Chamber:,Version Date:,Cosponsors:,Subtitle:,Summary,PDF,TEXT,TEXT_Content
0,111 H. J. Res. 41 (Introduced in the House),111- 1,"March 25, 2009",111 H. J. Res. 41,HJRes 41,Retrieve Bill Profile Report,Introduced in the House,Representative Michele Marie Bachmann (R - MN),https://congressional-proquest-com.ezp-prod1.hul.harvard.edu/congressional/docview/t01.d02.111_hjres_41_ih?accountid=11311,None,None,None,None,Proposing an amendment to the Constitution of the United States to prohibit the President from entering into a treaty or other international agreement that would provide for the United States to adopt as legal tender in the United States a currency issued by an entity other than the United States.,C:\Users\sal853\Documents\congressional_record\data\bills-111hjres41ih.pdf,C:\Users\sal853\Documents\congressional_record\data_txt\bills-111hjres41ih.txt,"IA

111TH CONGRESS
1ST SESSION

H. J. RES. 41

Proposing an amendment to the Constitution of the United States to prohibit
the President from entering into a treaty or other international agreement that would provide for the United States to adopt as legal tender
in the United States a currency issued by an entity other than the
United States.

IN THE HOUSE OF REPRESENTATIVES
MARCH 25, 2009
Mrs. BACHMANN (for herself, Mr. HENSARLING, Mr. PRICE of Georgia, Mr.
SHADEGG, Mr. KIRK, Ms. FOXX, Mr. PITTS, Mr. BARTLETT, Mr.
MCCLINTOCK, Mr. GINGREY of Georgia, Mr. WAMP, Ms. FALLIN, Mr.
FLEMING, Mrs. BLACKBURN, Mr. BROUN of Georgia, Mr. AKIN, Mr.
ISSA, Mr. KING of Iowa, Mr. BURTON of Indiana, Mr. GOHMERT, Mr.
THOMPSON of Pennsylvania, Mr. LAMBORN, Mr. PAUL, Mr. CULBERSON,
Mrs. BIGGERT, Mr. BROWN of South Carolina, Mr. JONES, Mr. POSEY,
Mr. ROE of Tennessee, and Mr. CONAWAY) introduced the following joint
resolution; which was referred to the Committee on the Judiciary

JOINT RESOLUTION
Proposing an amendment to the Constitution of the United
States to prohibit the President from entering into a
treaty or other international agreement that would provide for the United States to adopt as legal tender in
the United States a currency issued by an entity other
than the United States.
wwoods2 on PRODPC68 with BILLS

1

Resolved by the Senate and House of Representatives

2 of the United States of America in Congress assembled

VerDate Nov 24 2008

23:55 Mar 25, 2009

Jkt 079200

PO 00000

Frm 00001

Fmt 6652

Sfmt 6201

E:\BILLS\HJ41.IH

HJ41

2
1 (two-thirds of each House concurring therein), That the fol2 lowing article is proposed as an amendment to the Con3 stitution of the United States, which shall be valid to all
4 intents and purposes as part of the Constitution when
5 ratified by the legislatures of three-fourths of the several
6 States within seven years after the date of its submission
7 for ratification:
8
9

‘‘ARTICLE —
‘‘The President may not enter into a treaty or other

10 international agreement that would provide for the United
11 States to adopt as legal tender in the United States a cur12 rency issued by an entity other than the United States.’’.

wwoods2 on PRODPC68 with BILLS

Æ

•HJ 41 IH
VerDate Nov 24 2008

23:55 Mar 25, 2009

Jkt 079200

PO 00000

Frm 00002

Fmt 6652

Sfmt 6301

E:\BILLS\HJ41.IH

HJ41

"
1,103 H. J. Res. 167 (Introduced in the House),103- 1,"March 30, 1993",103 H. J. Res. 167,HJRes 167,Retrieve Bill Profile Report,Introduced in the House,Representative John T. Doolittle (R - CA),https://congressional-proquest-com.ezp-prod1.hul.harvard.edu/congressional/docview/t01.d02.103_hjres_167_ih?accountid=11311,None,None,None,None,Proposing an amendment to the Constitution of the United States to provide for balanced budgets for the United States Government.,C:\Users\sal853\Documents\congressional_record\data\bills-103hjres167ih.pdf,C:\Users\sal853\Documents\congressional_record\data_txt\bills-103hjres167ih.txt,"IA

103D CONGRESS
1ST SESSION

H. J. RES. 167

Proposing an amendment to the Constitution of the United States to provide
for balanced budgets for the United States Government.

IN THE HOUSE OF REPRESENTATIVES
MARCH 30, 1993
Mr. DOOLITTLE (for himself, Mr. CONDIT, Mr. COBLE, Mr. YOUNG of Alaska,
Mr. BAKER of Louisiana, Mr. BAKER of California, Mr. ROYCE, Mr. SENSENBRENNER, Mr. ARMEY, Mr. ROHRABACHER, Mr. PAXON, Mr. KLUG,
Mr. ZELIFF, Mr. SANTORUM, Mr. POMBO, Mr. CUNNINGHAM, Mr.
GALLEGLY, Mr. KIM, Mrs. VUCANOVICH, Mr. SMITH of New Jersey, Mr.
GILCHREST, Mr. INGLIS of South Carolina, Mr. HOBSON, Mr. GOSS, Mr.
MCINNIS, Mr. BUYER, Mr. LIVINGSTON, Mr. CRANE, Mr. PACKARD, Mr.
DELAY, Mr. DICKEY, Mr. BURTON of Indiana, Mr. BARTLETT of Maryland, Mr. BOEHNER, Mr. EWING, Mr. FAWELL, Ms. ROS-LEHTINEN, Mr.
STUMP, Ms. PRYCE of Ohio, Mr. STEARNS, Mr. SUNDQUIST, Mr.
TORKILDSEN, Mr. UPTON, Mr. ZIMMER, Mr. LEWIS of Florida, Mr.
FRANKS of Connecticut, Mr. FRANKS of New Jersey, Mrs. FOWLER, Mr.
GALLO, Mr. GEKAS, Mr. GILLMOR, Mr. GINGRICH, Mr. GOODLATTE, Mr.
GRAMS, Mr. GREENWOOD, Mr. HANCOCK, Mr. HANSEN, Mr. HASTERT,
Mr. HEFLEY, Mr. HERGER, Mr. HOEKSTRA, Mr. HOKE, Mr. HORN, Mr.
HUFFINGTON, Mr. HUNTER, Mr. HUTCHINSON, Mr. HYDE, Mr. INHOFE,
Mr. ISTOOK, Mr. SAM JOHNSON of Texas, Mrs. JOHNSON of Connecticut,
and Mr. KASICH) introduced the following joint resolution; which was referred to the Committee on the Judiciary

JOINT RESOLUTION
Proposing an amendment to the Constitution of the United

2
States to provide for balanced budgets for the United
States Government.
1

Resolved by the Senate and House of Representatives

2 of the United States of America in Congress assembled
3 (two-thirds of each House concurring therein), That the fol4 lowing article is proposed as an amendment to the Con5 stitution of the United States, which shall be valid to all
6 intents and purposes as part of the Constitution when
7 ratified by the legislatures of three-fourths of the several
8 States within seven years after the date of its submission
9 for ratification:
10
11

‘‘ARTICLE —
‘‘SECTION 1. Total outlays of the United States for

12 any fiscal year shall not exceed total receipts to the United
13 States for that year, unless 3⁄5 of the whole number of
14 both Houses of Congress shall provide for a specific excess
15 of outlays over receipts.
16

‘‘SECTION 2. Any bill for raising taxes shall become

17 law only if approved by a majority of the whole number
18 of both Houses of Congress by rollcall vote.
19

‘‘SECTION 3. The Congress may waive the provisions

20 of this article for any fiscal year in which a declaration
21 of war is in effect.
22

‘‘SECTION 4. Total receipts shall include all receipts

23 of the United States except those derived from borrowing.

•HJ 167 IH

3
1 Total outlays shall include all outlays of the United States
2 except for those for repayment of debt principal.
3

‘‘SECTION 5. The limit on the debt of the United

4 States held by the public shall not be increased unless 3⁄5
5 of the whole number of each House shall provide by law
6 for such an increase by a rollcall vote.
7

‘‘SECTION 6. Congress shall enforce this Article by

8 appropriate legislation.
9

‘‘SECTION 7. Except with respect to section 5 which

10 shall take effect upon ratification, this Article shall take
11 effect beginning with fiscal year 1998 or with the second
12 fiscal year beginning after the ratification, whichever is
13 later.’’.
Æ

•HJ 167 IH

"
2,105 H. J. Res. 60 (Introduced in the House),105- 1,"March 06, 1997",105 H. J. Res. 60,HJRes 60,Retrieve Bill Profile Report,Introduced in the House,Representative H. L. Callahan (R - AL),https://congressional-proquest-com.ezp-prod1.hul.harvard.edu/congressional/docview/t01.d02.105_hjres_60_ih?accountid=11311,None,None,None,None,Proposing an amendment to the Constitution of the United States to provide that no person born in the United States will be a United States citizen on account of birth in the United States unless a parent is a United States citizen at the time of the birth.,C:\Users\sal853\Documents\congressional_record\data\bills-105hjres60ih.pdf,C:\Users\sal853\Documents\congressional_record\data_txt\bills-105hjres60ih.txt,"IA

105TH CONGRESS
1ST SESSION

H. J. RES. 60

Proposing an amendment to the Constitution of the United States to provide
that no person born in the United States will be a United States
citizen on account of birth in the United States unless a parent is
a United States citizen at the time of the birth.

IN THE HOUSE OF REPRESENTATIVES
MARCH 6, 1997
Mr. CALLAHAN (for himself, Mr. STUMP, Mr. EVERETT, and Mr. TRAFICANT)
introduced the following joint resolution; which was referred to the Committee on the Judiciary

JOINT RESOLUTION
Proposing an amendment to the Constitution of the United
States to provide that no person born in the United
States will be a United States citizen on account of
birth in the United States unless a parent is a United
States citizen at the time of the birth.
1

Resolved by the Senate and House of Representatives

2 of the United States of America in Congress assembled
3 (two-thirds of each House concurring therein), That the fol4 lowing article is proposed as an amendment to the Con5 stitution of the United States, which shall be valid to all
6 intents and purposes as part of the Constitution when
7 ratified by the legislatures of three-fourths of the several

2
1 States within seven years after the date of its submission
2 to the States for ratification:
3
4

‘‘ARTICLE —
‘‘SECTION 1. No person born in the United States

5 after the date of the ratification of this article shall be
6 a citizen of the United States, or of any State, on account
7 of birth in the United States unless the mother or father
8 of the person is a citizen of the United States at the time
9 of the birth.
10

‘‘SECTION 2. The Congress shall have power to en-

11 force this article by appropriate legislation.’’.

Æ

HJ 60 IH

"
3,103 H. J. Res. 396 (Introduced in the House),103- 2,"August 01, 1994",103 H. J. Res. 396,HJRes 396,Retrieve Bill Profile Report,Introduced in the House,Representative H. L. Callahan (R - AL),https://congressional-proquest-com.ezp-prod1.hul.harvard.edu/congressional/docview/t01.d02.103_hjres_396_ih?accountid=11311,None,None,None,None,Proposing an amendment to the Constitution of the United States to provide that no person born in the United States will be a United States citizen on account of birth in the United States unless a parent is a United States citizen at the time of the birth.,C:\Users\sal853\Documents\congressional_record\data\bills-103hjres396ih.pdf,C:\Users\sal853\Documents\congressional_record\data_txt\bills-103hjres396ih.txt,"IA

103D CONGRESS
2D SESSION

H. J. RES. 396

Proposing an amendment to the Constitution of the United States to provide
that no person born in the United States will be a United States
citizen on account of birth in the United States unless a parent is
a United States citizen at the time of the birth.

IN THE HOUSE OF REPRESENTATIVES
AUGUST 1, 1994
Mr. CALLAHAN (for himself, Mr. STUMP, Mr. TRAFICANT, and Mr. EVERETT)
introduced the following joint resolution; which was referred to the Committee on the Judiciary

JOINT RESOLUTION
Proposing an amendment to the Constitution of the United
States to provide that no person born in the United
States will be a United States citizen on account of
birth in the United States unless a parent is a United
States citizen at the time of the birth.
1

Resolved by the Senate and House of Representatives

2 of the United States of America in Congress assembled (two3 thirds of each House concurring therein), That the follow4 ing article is proposed as an amendment to the Constitu-

2
1 tion of the United States, which shall be valid to all intents
2 and purposes as part of the Constitution when ratified by
3 the legislatures of three-fourths of the several States with4 in seven years after the date of its submission to the
5 States for ratification:
6
7

‘‘ARTICLE —
‘‘SECTION 1. No person born in the United States

8 after the date of the ratification of this article shall be
9 a citizen of the United States, or of any State, on account
10 of birth in the United States unless the mother or father
11 of the person is a citizen of the United States at the time
12 of the birth.
13

‘‘SEC. 2. The Congress shall have power to enforce

14 this article by appropriate legislation.’’.

Æ

•HJ 396 IH

"
4,54 H. Res. 39 (Referred to Committee House),54- 1,"December 17, 1895",54 H. Res. 39,HRes 39,Retrieve Bill Profile Report,Referred to Committee House,Representative William Sulzer (D - NY),https://congressional-proquest-com.ezp-prod1.hul.harvard.edu/congressional/docview/t01.d02.54_hres_39_rth_18951217?accountid=11311,U.S. House of Representatives,None,None,None,Proposing an amendment to the Constitution of the United States providing for the election of Senators by the votes of the qualified electors of the States.,C:\Users\sal853\Documents\congressional_record\data\54-hres39-00rth-18951217.pdf,C:\Users\sal853\Documents\congressional_record\data_txt\54-hres39-00rth-18951217.txt,"54TH CONGRESS,
1ST SESSION.

•

H. RES. 39.

IX THE HOUSE OF KEPKESEXTATIYES.
DECEMBER

18,1895.

Head twice, referred to the Committee on the Judiciary, and ordered to be printed.

Mr

SULZBK

introduced the following joint resolution:

JOINT RESOLUTION
Proposing an amendment to the Constitution of the United States
providing for the election of Senators hy the votes of the
qualified electors of the States.
1

Resolved by the Senate and House of Representatives

2

of the United States of America in Congress assembled

3

(two-thirds of each House concurring therein), That the fol-

4

lowing amendment to the Constitution of the United States

5

be proposed to the legislatures of the several States, which,

6

when ratified by three-fourths of said legislatures, shall be-

7

come and be a part of the Constitution, and shall be known

8

as the sixteenth amendment:

9

"" That the Senate of the United States shall be composed

10

of two Senators from each State, who shall be chosen by a

11

direct vote of the people of the several States for six years;

12

and the electors in each State shall have the qualifications

13

requisite for electors of the most numerous branch of the

14

State legislature; and each Senator shall have one vote, and

15

a plurality shall elect.

16

""If vacancies happen by resignation or otherwise, the

17

executive thereof may make temporary appointments until

18

the next general election in such State for Members of the

19

House of Representatives in Congress, when such vacancies

20

shall be filled by a direct vote of the people as aforesaid.""

0

S

O
ft)
2
W

CD

O

* ao

o

as*

rtO
00

e+ GO
CD

* I

o' P
CD
oo

CD

p

3
o

°

~M

-

CO
cl
f

CD

w

o

©

CD

n>

B

O

2. O

* S

5

CD
1=1
<rt-

GO

CD
►©
►—'

CD
Pi

w

O
^ e+
3 {3d
OJQ CD

^ 2

«* 2:

» g;

►3

2

©

•■•>

►B

SO
»

MS O

e+ l->
tr 00
9 CO

B

!2{

a> ft*

i-3

CD £
I-J e-tCD £•

as

la

GO
CO

(0
*

"
5,108 H. J. Res. 94 (Introduced in the House),108- 2,"April 29, 2004",108 H. J. Res. 94,HJRes 94,Retrieve Bill Profile Report,Introduced in the House,Representative Virgil H. Goode Jr. (R - VA),https://congressional-proquest-com.ezp-prod1.hul.harvard.edu/congressional/docview/t01.d02.108_hjres_94_ih?accountid=11311,None,None,None,None,Proposing an amendment to the Constitution of the United States to establish English as the official language of the United States.,C:\Users\sal853\Documents\congressional_record\data\bills-108hjres94ih.pdf,C:\Users\sal853\Documents\congressional_record\data_txt\bills-108hjres94ih.txt,"IA

108TH CONGRESS
2D SESSION

H. J. RES. 94

Proposing an amendment to the Constitution of the United States to establish
English as the official language of the United States.

IN THE HOUSE OF REPRESENTATIVES
APRIL 29, 2004
Mr. GOODE (for himself, Mr. KING of Iowa, Mr. DOOLITTLE, Mr. BURTON
of Indiana, Mr. JONES of North Carolina, and Mr. BARTLETT of Maryland) introduced the following joint resolution; which was referred to the
Committee on the Judiciary

JOINT RESOLUTION
Proposing an amendment to the Constitution of the United
States to establish English as the official language of
the United States.
1

Resolved by the Senate and House of Representatives

2 of the United States of America in Congress assembled
3 (two-thirds of each House concurring therein), That the fol4 lowing article is proposed as an amendment to the Con5 stitution of the United States, which shall be valid to all
6 intents and purposes as part of the Constitution when
7 ratified by the legislatures of three-fourths of the several
8 States within seven years after the date of its submission
9 for ratification:

2
1
2

‘‘ARTICLE —
‘‘SECTION 1. The English language shall be the offi-

3 cial language of the United States. As the official lan4 guage, the English language shall be used for all public
5 acts including every order, resolution, vote, and election,
6 and for all records and judicial proceedings of the Govern7 ment of the United States and the governments of the sev8 eral States.
9

‘‘SECTION 2. The Congress and the States shall en-

10 force this article by appropriate legislation.’’.

Æ

•HJ 94 IH

"
6,109 H. J. Res. 85 (Introduced in the House),109- 2,"May 04, 2006",109 H. J. Res. 85,HJRes 85,Retrieve Bill Profile Report,Introduced in the House,Representative Nick J. Rahall II (D - WV),https://congressional-proquest-com.ezp-prod1.hul.harvard.edu/congressional/docview/t01.d02.109_hjres_85_ih?accountid=11311,None,None,None,None,Proposing an amendment to the Constitution of the United States to clarify that the Constitution neither prohibits voluntary prayer nor requires prayer in schools.,C:\Users\sal853\Documents\congressional_record\data\bills-109hjres85ih.pdf,C:\Users\sal853\Documents\congressional_record\data_txt\bills-109hjres85ih.txt,"IA

109TH CONGRESS
2D SESSION

H. J. RES. 85

Proposing an amendment to the Constitution of the United States to clarify
that the Constitution neither prohibits voluntary prayer nor requires
prayer in schools.

IN THE HOUSE OF REPRESENTATIVES
MAY 4, 2006
Mr. RAHALL (for himself and Mr. MOLLOHAN) introduced the following joint
resolution; which was referred to the Committee on the Judiciary

JOINT RESOLUTION
Proposing an amendment to the Constitution of the United
States to clarify that the Constitution neither prohibits
voluntary prayer nor requires prayer in schools.
1

Resolved by the Senate and House of Representatives

2 of the United States of America in Congress assembled
3 (two-thirds of each House concurring therein), That the fol4 lowing article is proposed as an amendment to the Con5 stitution of the United States, which shall be valid to all
6 intents and purposes as part of the Constitution when

cchase on PROD1PC60 with BILLS

7 ratified by the legislatures of three-fourths of the several
8 States within seven years after the date of its submission
9 by the Congress:

VerDate Aug 31 2005

18:22 May 07, 2006

Jkt 049200

PO 00000

Frm 00001

Fmt 6652

Sfmt 6201

E:\BILLS\HJ85.IH

HJ85

2
1
2

‘‘ARTICLE —
‘‘Nothing in this Constitution, including any amend-

3 ment to this Constitution, shall be construed to prohibit
4 voluntary prayer or require prayer in a public school, or
5 to prohibit voluntary prayer or require prayer at a public
6 school extracurricular activity.’’.

cchase on PROD1PC60 with BILLS

Æ

•HJ 85 IH
VerDate Aug 31 2005

18:22 May 07, 2006

Jkt 049200

PO 00000

Frm 00002

Fmt 6652

Sfmt 6301

E:\BILLS\HJ85.IH

HJ85

"
7,72 S.J. Res. 202 (Referred to Committee Senate),72- 2,"December 06, 1932",72 S.J. Res. 202,SJRes 202,Retrieve Bill Profile Report,Referred to Committee Senate,None,https://congressional-proquest-com.ezp-prod1.hul.harvard.edu/congressional/docview/t01.d02.72_sjres_202_rts_19321206?accountid=11311,U.S. Senate,None,None,None,Proposing an amendment to the Constitution of the United States relative to the eighteenth amendment.,C:\Users\sal853\Documents\congressional_record\data\72-sjres202-00rts-19321206.pdf,C:\Users\sal853\Documents\congressional_record\data_txt\72-sjres202-00rts-19321206.txt,"72D CONGRESS
2D SESSION

S. J. RES. 202

IN THE SENATE OF THE UNITED STATES
JULY

Mr.

GLASS

11 (calendar day,

JULY

13), 1932

introduced the following joint resolution; which was read twice and
ordered to lie on the table
JULY

11 (calendar day,

JULY

16), 1932

Ordered to be placed on calendar
DECEMBER

6,1932

Referred to the Committee on the Judiciary

JOINT RESOLUTION
Proposing an amendment to the Constitution of the United States
relative to the eighteenth amendment.
1

Resolved by the Senate and House of Representatives

2

of the United States of America in Congress assembled

3

(two-thirds of each House concurring therein), That the

4

following is proposed as an amendment to the Constitution

5

of the United States, which shall be valid to all intents and

6

purposes as part of the Constitution when ratified by con-

7

ventions in three-fourths of the several States:

8
9

""ABTICLE

—

"" SECTION 1. Article XVIII of the amendments to

10

this Constitution is hereby repealed.

The sale of intoxi-

11

eating liquors within the United States or any Territory

1

subject to the jurisdiction thereof for consumption at the

2

place of sale (commonly known as a saloon), and the

3

transportation of intoxicating liquors into any State, Terri-

4

tory, District, or possession of the United States in which

5

the manufacture, sale, and transportation of intoxicating

6

liquors are prohibited by law, are hereby prohibited.

7

Congress and the several States, Territories, and posses-

8

sions shall have concurrent power to enforce this article by

9

appropriate legislation.

The

10

"" SEC. 2. This article shall be inoperative unless it

11

shall have been ratified as an amendment to the Constitu-

12

tion by conventions in the several States, as provided in the

13

Constitution, within seven years from the date of the sub-

14

mission hereof to the States by the Congress.""

(0

©

o

a>

8
t3*

Q 2
K

1

I

cp

o
c+
V
CD
«H
C

&
P
>-*

CO
CO

to

d
p

n
P

&

6

B

§

5-

»■*

3P-

IP

p.

P
v$

n

00

(D

Q

&6

OP S
p - fr

s B
8 2a
HJ

<t>

ef

i—■ et-

05
03

P O
e-tZ' <*•

S""0
_ o

&
P
H

&. © B

p.
P

ct>

n

&•

i—■

° &

o

3CD y p
a a
P

a a
p

P.
P
P

Hi X

CO

09

to

&

C

<J>

CO

e+

H""

<B
d""
!->• p
TO sj;

5! o
«r B

o

osO

H

DQ

z

S3
01

PC
PI
to

0

EH

•

JO
B

O N
2 0
N

"
8,116 H. J. Res. 49 (Introduced in the House),116- 1,"February 25, 2019",116 H. J. Res. 49,HJRes 49,Retrieve Bill Profile Report,Introduced in the House,Representative Steve A. King (R - IA),https://congressional-proquest-com.ezp-prod1.hul.harvard.edu/congressional/docview/t01.d02.116_hjres_49_ih?accountid=11311,None,None,None,None,"Proposing an amendment to the Constitution of the United States to provide that Representatives shall be apportioned among the several States according to their respective numbers, counting the number of persons in each State who are citizens of the United States.",C:\Users\sal853\Documents\congressional_record\data\bills-116hjres49ih.pdf,C:\Users\sal853\Documents\congressional_record\data_txt\bills-116hjres49ih.txt,"IA

116TH CONGRESS
1ST SESSION

H. J. RES. 49

Proposing an amendment to the Constitution of the United States to provide
that Representatives shall be apportioned among the several States according to their respective numbers, counting the number of persons
in each State who are citizens of the United States.

IN THE HOUSE OF REPRESENTATIVES
Mr. KING

FEBRUARY 25, 2019
of Iowa submitted the following joint resolution; which was referred
to the Committee on the Judiciary

JOINT RESOLUTION
Proposing an amendment to the Constitution of the United
States to provide that Representatives shall be apportioned among the several States according to their respective numbers, counting the number of persons in
each State who are citizens of the United States.
1

Resolved by the Senate and House of Representatives

2 of the United States of America in Congress assembled (two3 thirds of each House concurring therein), That the fol-

pamtmann on DSKBFK8HB2PROD with BILLS

4 lowing article is proposed as an amendment to the Con5 stitution of the United States, which shall be valid to all
6 intents and purposes as part of the Constitution when
7 ratified by the legislatures of three-fourths of the several

VerDate Sep 11 2014

02:00 Feb 26, 2019

Jkt 089200

PO 00000

Frm 00001

Fmt 6652

Sfmt 6201

E:\BILLS\HJ49.IH

HJ49

2
1 States within seven years after the date of its submission
2 for ratification:
3
4

‘‘ARTICLE —
‘‘Representatives shall be apportioned among the sev-

5 eral States according to their respective numbers, which
6 shall be determined by counting the number of persons
7 in each State who are citizens of the United States.’’.

pamtmann on DSKBFK8HB2PROD with BILLS

Æ

•HJ 49 IH
VerDate Sep 11 2014

02:00 Feb 26, 2019

Jkt 089200

PO 00000

Frm 00002

Fmt 6652

Sfmt 6301

E:\BILLS\HJ49.IH

HJ49

"
9,110 H. J. Res. 41 (Introduced in the House),110- 1,"March 29, 2007",110 H. J. Res. 41,HJRes 41,Retrieve Bill Profile Report,Introduced in the House,Representative Nick J. Rahall II (D - WV),https://congressional-proquest-com.ezp-prod1.hul.harvard.edu/congressional/docview/t01.d02.110_hjres_41_ih?accountid=11311,None,None,None,None,Proposing an amendment to the Constitution of the United States to clarify that the Constitution neither prohibits voluntary prayer nor requires prayer in schools.,C:\Users\sal853\Documents\congressional_record\data\bills-110hjres41ih.pdf,C:\Users\sal853\Documents\congressional_record\data_txt\bills-110hjres41ih.txt,"IA

110TH CONGRESS
1ST SESSION

H. J. RES. 41

Proposing an amendment to the Constitution of the United States to clarify
that the Constitution neither prohibits voluntary prayer nor requires
prayer in schools.

IN THE HOUSE OF REPRESENTATIVES
Mr. RAHALL

MARCH 29, 2007
introduced the following joint resolution; which was referred to
the Committee on the Judiciary

JOINT RESOLUTION
Proposing an amendment to the Constitution of the United
States to clarify that the Constitution neither prohibits
voluntary prayer nor requires prayer in schools.
1

Resolved by the Senate and House of Representatives

2 of the United States of America in Congress assembled
3 (two-thirds of each House concurring therein), That the fol4 lowing article is proposed as an amendment to the Con5 stitution of the United States, which shall be valid to all
6 intents and purposes as part of the Constitution when

bajohnson on PROD1PC77 with BILLS

7 ratified by the legislatures of three-fourths of the several
8 States within seven years after the date of its submission
9 by the Congress:

VerDate Aug 31 2005

03:53 Mar 31, 2007

Jkt 059200

PO 00000

Frm 00001

Fmt 6652

Sfmt 6201

E:\BILLS\HJ41.IH

HJ41

2
1
2

‘‘ARTICLE —
‘‘Nothing in this Constitution, including any amend-

3 ment to this Constitution, shall be construed to prohibit
4 voluntary prayer or require prayer in a public school, or
5 to prohibit voluntary prayer or require prayer at a public
6 school extracurricular activity.’’.

bajohnson on PROD1PC77 with BILLS

Æ

•HJ 41 IH
VerDate Aug 31 2005

22:47 Apr 03, 2007

Jkt 059200

PO 00000

Frm 00002

Fmt 6652

Sfmt 6301

E:\BILLS\HJ41.IH

HJ41

"
