,Title:,Congress-Session:,Date:,Chamber:,Citation:,Bill:,Bill Profile:,Bill Status:,Bill Sponsor:,Permalink:,Version Date:,Cosponsors:,Subtitle:,Summary,PDF,TEXT,TEXT_Content
0,51 H. Res. 17 (Referred to Committee House),51- 1,"December 18, 1889",U.S. House of Representatives,51 H. Res. 17,HRes 17,Retrieve Bill Profile Report,Referred to Committee House,Representative Herman Lehlbach (R - NJ),https://congressional-proquest-com.ezp-prod1.hul.harvard.edu/congressional/docview/t01.d02.51_hres_17_rth_18891218?accountid=11311,None,None,None,Proposing an amendment to the Constitution of the United States providing for the election of Senators by the votes of the people of the States.,C:\Users\sal853\Documents\congressional_record\data\51-hres17-00rth-18891218.pdf,C:\Users\sal853\Documents\congressional_record\data_txt\51-hres17-00rth-18891218.txt,"51ST CONGRESS,
1ST SESSION.

H. RES. 17.

IN THE HOUSE OP REPRESENTATIVES.
DECEMBER

18,1889.

Bead twice, referred to the Committee on the Judiciary, and ordered to be
printed.

Mr. LEHLBACH introduced the following joint resolution:

JOINT RESOLUTION
Proposing an amendment to the Constitution of the United States
providing for the election of Senators by the votes of the people
of the States.
1

Resolved by the Senate and House of Representatives

2

of the United States of America in Congress assembled

3

(two-thirds of each House concurring therein), That the

4

following amendment to the Constitution of the United States

5

be proposed to the legislatures of the several States ; which,

6

when ratified by three-fourths of said legislatures, shall be-

7

come and be a part of the Constitution, namely:

8

Strike out the word ""legislature"" in the first clause of

9

section three of Article one, and substitute in lieu thereof the

10

word ""people;"" so that said clause shall be as follows:

11

""The Senate of the United States shall be composed of

12

two Senators from each State, chosen by the people thereof

13

for six years; and each Senator shall have one vote.""

»

Q
e-t

CD

®

w o

W

g
w

£7*

a>
«H

h-»

oc

o

*■■

1—'

ai

p oo
«o
a |

a*

QJ

g W
^ CD
P
p

Cu
T¥

& 3
o
i-j

O
CD

& ~H
CD
i-J

CD

<-i.
t-+

o
c
CD

«
i-j_

5""
CD

CD

£»

CD
H
1
CD

stO

01

* g

asm

o H
P fd
e+

rr ©

CH

2.
c+-'

1

IT

w
>
a

<!

O

a;
O

!2{

0 to

&
GO a

3D

r
a
w

»

CO -4
> SO Q

B

Mi

CD

e

o
OJ

-

O

i

2'j O
o

i-3

r+-

p*
O

O
e-t-

—i

C o o

«*

"
1,67 S.J. Res. 253 (Ordered to be Printed Senate),67- 4,"February 12, 1923",U.S. Senate,67 S.J. Res. 253,SJRes 253,Retrieve Bill Profile Report,Ordered to be Printed Senate,None,https://congressional-proquest-com.ezp-prod1.hul.harvard.edu/congressional/docview/t01.d02.67_sjres_253_ops_19230212?accountid=11311,None,None,None,"Proposing an amendment to the Constitution of the United States, fixing the commencement of the terms of President and Vice President and Members of Congress, and providing for the election of President and Vice President by direct vote.",C:\Users\sal853\Documents\congressional_record\data\67-sjres253-00ops-19230212.pdf,C:\Users\sal853\Documents\congressional_record\data_txt\67-sjres253-00ops-19230212.txt,"Calendar No. 918.
67TH CONGRESS,
4TH SESSION.

S. J. RES. 253.
[Eeport No. 933.]

IN THE SENATE OF THE UNITED STATES.
DECEMBER

Mr.

5, 1922.

from the Committee on Agriculture and Forestry, reported, in lieu
of S. Con. Res. 29, the following joint resolution; which was read twice
and placed on the calendar.

NORRIS,

FEBRUARY

12, 1923.

Ordered printed showing proposed amendments.
[Omit the part struck through and insert the part printed in italic]

JOINT RESOLUTION
Proposing an amendment to the Constitution of the United States,
fixing the commencement of the terms of President and Vice
President and Members of Congress, and providing for. the
election of President and Vice President by direct vote"".
1

Resolved by the Senate and House of Representatives

2- of the United States of America in Congress assembled
3

(two-thirds of each House concurring therein), That the

4

following amendment to the Constitution be, and hereby is,

5

proposed to the States, to become valid as a part of the

6

Constitution when ratified by the legislatures of the several

7

States as provided by the Constitution:

8
9
10

ARTICLE
SECTION

—.

ir That fee terns of the Preside*** and Viee

President el fee United State Aati commence at BOOB OR the

!

third Monday m January following their eleetaen-y and they

2

9hall

3

President and ¥iee President shah fee determined at a

4

gefteml eleetien ef the qualified eleeters of sueh Stater

5

^me e| s^fe eleetien shah fee the same throughout the United

fi

s+fttesy and unless the fe^s shah by law appoint a dif-

7

j^ea^ ^fe^e stteh clcetion shah he held en the first r4

8

after the first Monday ef November in the year pr-<

9

the expiration ef the regular term ef the President and ¥iee

fee eleeted as follows: The eheiee ef eaeh State fer

The

10

President

Eaeh State shah he entitled te7 and shah he

1I

given,- as many vetes fer President and ¥iee President as the

12

whole nnmfeer ef Senators and :&epresentatives te which the

13

State may he entitled in Congress.

14

and transmit, scaled, te the seat ef government ef the United

lo

otai/CS, TXT

16

ef said

17

presence ef the Senate and Heuse ef Ecprcscntativesj open

18

ah certificates, and the vetes shah then fee counted.

19

person having the greatest number of votes for President shah

20

he the President if such number fee a majority ef the whele

21

number ef votes te which ah ef the States are entitled; and

22

if ne persen have sueh majority then from the persons hav-

23

ing the higest numbersj net exceeding three en the list ef

24

those voted fer as President, the House ef ^representatives

25

shah choose immediately the President,

Eaeh State shah certify

te the President ef the Senate^ the -result
The President ef the Senate shall, in the

The

fo choosing the

1

President fee ¥etes sfeall fee taken fey roll eaU el tfee

2

and all snefe ¥etes sfeall fee recorded: m fell in fee Journal?

3

and ft majority el all el fee ^Representatives sfeall fee necessary

4

te a efeeieer II tfee House el Representatives sfeall set efeeese

5

a President whenever tfee rigfet el choice sfeall devolve upon

6

them before tfee tfeird Men-day in January nest following?

7

tfeen tfee Viee President sfeall aet as President? as in fee ease

8

el fee death or efeer eenstitutional disafeility el fee President.

9

Tfee person having fee greatest number el votes as ¥iee

10

President sfeall fee fee Viee President '4 suefe number fee a

11

majority el fee wfeele number el yetes te wfeiefe aH el tfee

12

States are entitled, and i! ne person have a majority, then

13

from fee twe highest numbers en fee list fee Senate sfeall?

14

in like manner? choose fee Vice President? and a majority

15

el fee whole number el Senators sfeall fee necessary te a

16

choice. But ne person eonstitutionally ineligible te fee office

17

el President sfeall fee eligible te feat el Vice President el tfee

18

United States.

19

gee- £ SECTION 1. That the terms of Senators and

20

Representatives shall commence at noon on the first Monday

21

in January following their election.

22

SEC.

% 2. That the Congress shall assemble at least once

23

in every year and such meeting shall be on the first Monday

24

in January, unless they shall by law appoint a different day.

25
26

SEC.

4 3. That the terms of the President and Vice

President who may be in office at the time of the adoption of

1

this amendment shall end at noon on the third Monday in

2

January of the year in which such terms would otherwise

3

have ended on the fourth day of March. The terms of Sena-

4

tors and Representatives who may be in office at the time of

5

the adoption of this amendment shall end at noon on the first

6

Monday in January of the year in which such terms would

7

otherwise have ended on the fourth day of March.
O
M
a
O
w to g
d
> "" a
w
•=3
H

CO

<-:

CD
B
2
CD 9
<3 »
CO &

H

S3

3 to
B

^ ^ & o

& w

3 K>
os
o i

CD

» I
2—^ CDw

5
ft

If-

rt>
&

n

a;
B'
o

CD
B

B
CP3

•a
9

CO
i—

a

4
^
M- ST
CD B
*±,

o

B
05

CD

en

•5 Q
o
B

ss

O

w

P

o
CD
02

a.

P
CD

3 5'°

^ £t
CD
P
-1

3 §
CD

a

02
M

erfBCD

B CD O
^ a o
P 2 B
02
(Tt-

fcr<
1-3

pa

GO

B B 2
©-. ©-> CD

CD
i

2

B

CO

co

►

Or §
CO 2

*j CD3 BS-

^ B ££

w

IB Q

CD

O O Hb 02 CTCJ
<rt- Hb

H>

6 •

CD

coO

e*- CD

«4- ©

~
o
CC

CD

v sT ^ 3
02

CD
}X

% B

o

WO

CD

•B ""g
<T>

cT5'

g
» 0
02 aq <rf-

M

ft,

^ O

c+- CP

**

"
2,102 H. J. Res. 93 (Introduced in the House),102- 1,"January 28, 1991",U.S. House of Representatives,102 H.J.Res. 93,HJRes 93,Retrieve Bill Profile Report,AS INTRODUCED IN THE HOUSE,Representative Robert Kenneth Dornan (R - CA),https://congressional-proquest-com.ezp-prod1.hul.harvard.edu/congressional/docview/t01.d02.102_hjres_93_ih?accountid=11311,"January 28, 1991 Version: -- 1",None,None,Proposing an amendment to the Constitution of the United States limiting the number of consecutive terms members of the United States Senate and House of Representatives may serve.,C:\Users\sal853\Documents\congressional_record\data\102-hjres93-000ih-19910128.pdf,C:\Users\sal853\Documents\congressional_record\data_txt\102-hjres93-000ih-19910128.txt,"IA

102D CONGRESS
1ST SESSION

H. J. RES. 93

Proposing an amendment to the Constitution of the United States limiting the
number of consecutive terms members of the United States Senate and
House of Representatives may serve.

IN THE HOUSE OF KEPEESENTATIVES
28, 1991
Mr. DOENAN of California introduced the following joint resolution; which was
referred to the Committee on the Judiciary
JANUARY

JOINT RESOLUTION
Proposing an amendment to the Constitution of the United
States limiting the number of consecutive terms members of
the United States Senate and House of Eepresentatives
may serve.
1

Resolved by the Senate and House of Representatives

2 of the United States of America in Congress assembled
3 (two-thirds of each House concurring therein), That the fol4 lowing article is proposed as an amendment to the Constitu5 tion of the United States, which shall be valid to all intents
6 and purposes as part of the Constitution when ratified by the
7 legislatures of three-fourths of the several States within
8 seven years after the date of its submission for ratification:

2
1
2

""ABTICLE
""SECTION

—

1. No person may serve any term or portion

3 thereof as a member of the United States House of Eepre4 sentatives if such person has served as a member of the
5 ID se for each of the six terms, or a portion of any such
6 ctrm, immediately preceding such term.
7

""SECTION

2. No person may serve any term or portion

8 thereof as a member of the United States Senate if such
9 person has served as a member of the Senate for each of the
10 two terms, or a portion of any such term, immediately pre11 ceding such term.
12

""SECTION

3. For purposes of this article, service as a

13 member in the United States Senate or House of Eepresenta14 tives in any term which commenced before the ratification of
15 this article may not be included in determining the number of
16 terms served."".
O

•HJ 93 IH

"
3,103 H. J. Res. 123 (Introduced in the House),103- 1,"February 24, 1993",None,103 H. J. Res. 123,HJRes 123,Retrieve Bill Profile Report,Introduced in the House,Representative William Orton (D - UT),https://congressional-proquest-com.ezp-prod1.hul.harvard.edu/congressional/docview/t01.d02.103_hjres_123_ih?accountid=11311,None,None,None,Proposing an amendment to the Constitution of the United States to provide for a balanced budget for the United States Government.,C:\Users\sal853\Documents\congressional_record\data\bills-103hjres123ih.pdf,C:\Users\sal853\Documents\congressional_record\data_txt\bills-103hjres123ih.txt,"IA

103D CONGRESS
1ST SESSION

H. J. RES. 123

Proposing an amendment to the Constitution of the United States to provide
for a balanced budget for the United States Government.

IN THE HOUSE OF REPRESENTATIVES
Mr. ORTON

FEBRUARY 24, 1993
introduced the following joint resolution; which was referred to the
Committee on the Judiciary

JOINT RESOLUTION
Proposing an amendment to the Constitution of the United
States to provide for a balanced budget for the United
States Government.
1

Resolved by the Senate and House of Representatives

2 of the United States of America in Congress assembled
3 (two-thirds of each House concurring therein), That the fol4 lowing article is proposed as an amendment to the Con5 stitution of the United States, which shall be valid to all
6 intents and purposes as part of the Constitution if ratified
7 by the legislatures of three-fourths of the several States

2
1 within seven years after its submission to the States for
2 ratification:
3
4

‘‘ARTICLE —
‘‘SECTION 1. Total outlays of the United States for

5 any fiscal year shall not exceed total receipts to the United
6 States for that fiscal year.
7

‘‘SECTION 2. Prior to each fiscal year, the President

8 shall transmit to the Congress a proposed budget for the
9 United States Government for that fiscal year in which
10 total outlays do not exceed total receipts.
11

‘‘SECTION 3. For any fiscal year in which actual out-

12 lays exceed actual receipts, the Congress shall provide by
13 law for the repayment in the ensuing fiscal year of such
14 excess outlays. If Congress fails to provide by law for re15 payment, within fifteen days after Congress adjourns to
16 end a session, there shall be a sequestration of all outlays
17 to eliminate a budget deficit.
18

‘‘SECTION 4. The provisions of this article may be

19 waived for any fiscal year only if Congress so provides by
20 law by a majority of the whole number of each House.
21 Such waiver shall be subject to veto by the President.
22

‘‘SECTION 5. Total receipts shall include all receipts

23 of the United States Government except those derived
24 from borrowing. Total outlays shall include all outlays of

HJ 123 IH

3
1 the United States Government, except for those for repay2 ment of debt principal.
3

‘‘SECTION 6. This article shall take effect beginning

4 with fiscal year 2000 or with the second fiscal year begin5 ning after its ratification, whichever is later.’’.
Æ

HJ 123 IH

"
4,108 H. J. Res. 104 (Introduced in the House),108- 2,"September 15, 2004",None,108 H. J. Res. 104,HJRes 104,Retrieve Bill Profile Report,Introduced in the House,Representative Dana T. Rohrabacher (R - CA),https://congressional-proquest-com.ezp-prod1.hul.harvard.edu/congressional/docview/t01.d02.108_hjres_104_ih?accountid=11311,None,None,None,Proposing an amendment to the Constitution of the United States to make eligible for the Office of President a person who is not a natural born citizen of the United States but has been a United States citizen for at least 20 years.,C:\Users\sal853\Documents\congressional_record\data\bills-108hjres104ih.pdf,C:\Users\sal853\Documents\congressional_record\data_txt\bills-108hjres104ih.txt,"IA

108TH CONGRESS
2D SESSION

H. J. RES. 104

Proposing an amendment to the Constitution of the United States to make
eligible for the Office of President a person who is not a natural born
citizen of the United States but has been a United States citizen for
at least 20 years.

IN THE HOUSE OF REPRESENTATIVES
SEPTEMBER 15, 2004
Mr. ROHRABACHER introduced the following joint resolution; which was
referred to the Committee on the Judiciary

JOINT RESOLUTION
Proposing an amendment to the Constitution of the United
States to make eligible for the Office of President a
person who is not a natural born citizen of the United
States but has been a United States citizen for at least
20 years.
1

Resolved by the Senate and House of Representatives

2 of the United States of America in Congress assembled
3 (two-thirds of each House concurring therein), That the fol4 lowing article is proposed as an amendment to the Con5 stitution of the United States, which shall be valid to all
6 intents and purposes as part of the Constitution when
7 ratified by the legislatures of three-fourths of the several

2
1 States within seven years after the date of its submission
2 for ratification:
3
4

‘‘ARTICLE —
‘‘A person who is a citizen of the United States, who

5 has been a citizen of the United States for at least 20
6 years, and who is otherwise eligible to hold the Office of
7 the President, is not ineligible to hold that Office by rea8 son of not being a native born citizen of the United
9 States.’’.

Æ

•HJ 104 IH

"
5,104 H. J. Res. 109 (Introduced in the House),104- 1,"September 28, 1995",None,104 H. J. Res. 109,HJRes 109,Retrieve Bill Profile Report,Introduced in the House,Representative John T. Doolittle (R - CA),https://congressional-proquest-com.ezp-prod1.hul.harvard.edu/congressional/docview/t01.d02.104_hjres_109_ih?accountid=11311,None,None,None,Proposing an amendment to the Constitution of the United States establishing English as the official language of the United States.,C:\Users\sal853\Documents\congressional_record\data\bills-104hjres109ih.pdf,C:\Users\sal853\Documents\congressional_record\data_txt\bills-104hjres109ih.txt,"IA

104TH CONGRESS
1ST SESSION

H. J. RES. 109

Proposing an amendment to the Constitution of the United States establishing
English as the official language of the United States.

IN THE HOUSE OF REPRESENTATIVES
SEPTEMBER 28, 1995
Mr. DOOLITTLE (for himself, Mr. HANCOCK, Mr. HANSEN, and Mr. SHAYS)
introduced the following joint resolution; which was referred to the Committee on the Judiciary

JOINT RESOLUTION
Proposing an amendment to the Constitution of the United
States establishing English as the official language of
the United States.
1

Resolved by the Senate and House of Representatives

2 of the United States of America in Congress assembled
3 (two-thirds of each House concurring therein), That the fol4 lowing article is proposed as an amendment to the Con5 stitution of the United States, which shall be valid to all
6 intents and purposes as part of the Constitution when
7 ratified by the legislatures of three-fourths of the several

2
1 States within seven years after the date of its submission
2 for ratification:
3
4

‘‘ARTICLE —
‘‘SECTION 1. The English language shall be the offi-

5 cial language of the United States. As the official lan6 guage, the English language shall be used for all public
7 acts including every order, resolution, vote or election, and
8 for all records and judicial proceedings of the Government
9 of the United States and the governments of the several
10 States.
11

‘‘SECTION 2. The Congress and the States shall en-

12 force this article by appropriate legislation.’’.

Æ

HJ 109 IH

"
6,108 H. J. Res. 30 (Introduced in the House),108- 1,"March 04, 2003",None,108 H. J. Res. 30,HJRes 30,Retrieve Bill Profile Report,Introduced in the House,Representative Jesse Louis Jackson Jr. (D - IL),https://congressional-proquest-com.ezp-prod1.hul.harvard.edu/congressional/docview/t01.d02.108_hjres_30_ih?accountid=11311,None,None,None,Proposing an amendment to the Constitution of the United States regarding the right of citizens of the United States to health care of equal high quality.,C:\Users\sal853\Documents\congressional_record\data\bills-108hjres30ih.pdf,C:\Users\sal853\Documents\congressional_record\data_txt\bills-108hjres30ih.txt,"IA

108TH CONGRESS
1ST SESSION

H. J. RES. 30

Proposing an amendment to the Constitution of the United States regarding
the right of citizens of the United States to health care of equal high
quality.

IN THE HOUSE OF REPRESENTATIVES
Mr. JACKSON

MARCH 4, 2003
of Illinois introduced the following joint resolution; which was
referred to the Committee on the Judiciary

JOINT RESOLUTION
Proposing an amendment to the Constitution of the United
States regarding the right of citizens of the United
States to health care of equal high quality.
1

Resolved by the Senate and House of Representatives

2 of the United States of America in Congress assembled (two3 thirds of each House concurring therein), That the fol4 lowing article is proposed as an amendment to the Con5 stitution of the United States, which shall be valid to all
6 intents and purposes as part of the Constitution when
7 ratified by the legislatures of three-fourths of the several
8 States:

2
1
2

‘‘ARTICLE —
‘‘SECTION 1. All citizens of the United States shall

3 enjoy the right to health care of equal high quality.
4

‘‘SECTION 2. The Congress shall have power to imple-

5 ment this article by appropriate legislation.’’.

Æ

•HJ 30 IH

"
7,107 H. J. Res. 16 (Introduced in the House),107- 1,"February 13, 2001",None,107 H. J. Res. 16,HJRes 16,Retrieve Bill Profile Report,Introduced in the House,Representative John T. Doolittle (R - CA),https://congressional-proquest-com.ezp-prod1.hul.harvard.edu/congressional/docview/t01.d02.107_hjres_16_ih?accountid=11311,None,None,None,Proposing an amendment to the Constitution of the United States establishing English as the official language of the United States.,C:\Users\sal853\Documents\congressional_record\data\bills-107hjres16ih.pdf,C:\Users\sal853\Documents\congressional_record\data_txt\bills-107hjres16ih.txt,"IA

107TH CONGRESS
1ST SESSION

H. J. RES. 16

Proposing an amendment to the Constitution of the United States establishing
English as the official language of the United States.

IN THE HOUSE OF REPRESENTATIVES
Mr. DOOLITTLE

FEBRUARY 13, 2001
introduced the following joint resolution; which was referred
to the Committee on the Judiciary

JOINT RESOLUTION
Proposing an amendment to the Constitution of the United
States establishing English as the official language of
the United States.
1

Resolved by the Senate and House of Representatives

2 of the United States of America in Congress assembled
3 (two-thirds of each House concurring therein), That the
4 following article is proposed as an amendment to the Con5 stitution of the United States, which shall be valid to all
6 intents and purposes as part of the Constitution when
7 ratified by the legislatures of three-fourths of the several
8 States within seven years after the date of its submission
9 for ratification:

2
1
2

‘‘ARTICLE —
‘‘SECTION 1. The English language shall be the offi-

3 cial language of the United States. As the official lan4 guage, the English language shall be used for all public
5 acts including every order, resolution, vote, or election,
6 and for all records and judicial proceedings of the Govern7 ment of the United States and the governments of the sev8 eral States.
9

‘‘SECTION 2. The Congress and the States shall en-

10 force this article by appropriate legislation.’’.

Æ

•HJ 16 IH

"
8,103 H. J. Res. 171 (Introduced in the House),103- 1,"March 31, 1993",None,103 H. J. Res. 171,HJRes 171,Retrieve Bill Profile Report,Introduced in the House,Representative John T. Doolittle (R - CA),https://congressional-proquest-com.ezp-prod1.hul.harvard.edu/congressional/docview/t01.d02.103_hjres_171_ih?accountid=11311,None,None,None,Proposing an amendment to the Constitution of the United States establishing English as the official language of the United States.,C:\Users\sal853\Documents\congressional_record\data\bills-103hjres171ih.pdf,C:\Users\sal853\Documents\congressional_record\data_txt\bills-103hjres171ih.txt,"IA

103D CONGRESS
1ST SESSION

H. J. RES. 171

Proposing an amendment to the Constitution of the United States establishing
English as the official language of the United States.

IN THE HOUSE OF REPRESENTATIVES
Mr. DOOLITTLE

MARCH 31, 1993
introduced the following joint resolution; which was referred
to the Committee on the Judiciary

JOINT RESOLUTION
Proposing an amendment to the Constitution of the United
States establishing English as the official language of
the United States.
1

Resolved by the Senate and House of Representatives

2 of the United States of America in Congress assembled
3 (two-thirds of each House concurring therein), That the fol4 lowing article is proposed as an amendment to the Con5 stitution of the United States, which shall be valid to all
6 intents and purposes as part of the Constitution when
7 ratified by the legislatures of three-fourths of the several

2
1 States within seven years after the date of its submission
2 for ratification:
3
4

‘‘ARTICLE —
‘‘SECTION 1. The English language shall be the offi-

5 cial language of the United States. As the official lan6 guage, the English language shall be used for all public
7 acts including every order, resolution, vote or election, and
8 for all records and judicial proceedings of the Government
9 of the United States and the governments of the several
10 States.
11

‘‘SECTION 2. The Congress and the States shall en-

12 force this article by appropriate legislation.’’.
Æ

•HJ 171 IH

"
9,105 H. J. Res. 26 (Introduced in the House),105- 1,"January 09, 1997",None,105 H. J. Res. 26,HJRes 26,Retrieve Bill Profile Report,Introduced in the House,Representative Mark Adam Foley (R - FL),https://congressional-proquest-com.ezp-prod1.hul.harvard.edu/congressional/docview/t01.d02.105_hjres_26_ih?accountid=11311,None,None,None,"Proposing an amendment to the Constitution of the United States to provide that no person born in the United States will be a United States citizen unless a parent is a United States citizen, is lawfully in the United States, or has a lawful immigration status at the time of the birth.",C:\Users\sal853\Documents\congressional_record\data\bills-105hjres26ih.pdf,C:\Users\sal853\Documents\congressional_record\data_txt\bills-105hjres26ih.txt,"IA

105TH CONGRESS
1ST SESSION

H. J. RES. 26

Proposing an amendment to the Constitution of the United States to provide
that no person born in the United States will be a United States
citizen unless a parent is a United States citizen, is lawfully in the
United States, or has a lawful immigration status at the time of the
birth.

IN THE HOUSE OF REPRESENTATIVES
JANUARY 9, 1997
Mr. FOLEY (for himself, Mr. ROHRABACHER, Mr. ROYCE, Mr. DOOLITTLE,
YOUNG of Alaska, Mrs. CHENOWETH, Mr. MCKEON, Mr. CALVERT, Mr.
KLUG, Mr. BAKER of Louisiana, and Mr. METCALF) introduced the following joint resolution; which was referred to the Committee on the Judiciary

JOINT RESOLUTION
Proposing an amendment to the Constitution of the United
States to provide that no person born in the United
States will be a United States citizen unless a parent
is a United States citizen, is lawfully in the United
States, or has a lawful immigration status at the time
of the birth.
1

Resolved by the Senate and House of Representatives

2 of the United States of America in Congress assembled (two-

2
1 thirds of each House concurring therein), That the follow2 ing article is proposed as an amendment to the Constitu3 tion of the United States, which shall be valid to all intents
4 and purposes as part of the Constitution when ratified by
5 the legislatures of three-fourths of the several States with6 in seven years after the date of its submission for ratifica7 tion:
8
9

‘‘ARTICLE —
‘‘SECTION 1. No person born in the United States

10 after the date of the ratification of this article shall be
11 a citizen of the United States, or of any State, on account
12 of birth in the United States unless the mother or father
13 of the person is a citizen of the United States, is lawfully
14 in the United States, or has a lawful status under the im15 migration laws of the United States, at the time of the
16 birth.
17

‘‘SECTION 2. The Congress shall have power to en-

18 force this article by appropriate legislation.’’.

Æ

•HJ 26 IH

"
